WKT,ID,NATURE,TOPONYME
"MULTIPOLYGON (((5.71538031039772 45.1888190047429,5.7153472262084 45.1887936820151,5.71526122496748 45.1887282028318,5.71525341436532 45.1887247890293,5.715251044309 45.1887284504818,5.7152452504977 45.1887403037678,5.71518138708294 45.1888679902413,5.71513731881261 45.1889573552758,5.7151945791038 45.1890082175371,5.71524797795249 45.1890582727531,5.71531462814666 45.1891188169965,5.71534525488813 45.1891460014204,5.71538238790682 45.1890712202071,5.71546486126183 45.1889070428773,5.7154719276298 45.1888951586207,5.71547421011719 45.1888896973935,5.71543458779642 45.1888609299449,5.71538031039772 45.1888190047429)))",CONSSURF0000000007535693,Pont,
"MULTIPOLYGON (((5.74171584987776 45.1892068369967,5.74178257052147 45.1891385270716,5.74170518989029 45.1890935778181,5.74160257889493 45.1890537530179,5.74154011580733 45.1890012295743,5.74144359540138 45.189059459717,5.74138196474489 45.1891276444225,5.74133143356203 45.1891883488161,5.74140613626829 45.1892306612137,5.74150001619032 45.1892743044828,5.7415896015705 45.1893342704447,5.74163982318544 45.1892672668092,5.74171584987776 45.1892068369967)))",CONSSURF0000000007535690,Pont,
"MULTIPOLYGON (((5.74092320744837 45.1887109543402,5.74095650618235 45.1886885136212,5.74085455930947 45.1886621862603,5.74073325891669 45.1886309282574,5.7407002694372 45.1886596680344,5.74065622449646 45.1886967878889,5.74063784296309 45.1887116545733,5.74059989566965 45.1887432189282,5.74056322090258 45.1887747520257,5.74050693610392 45.1888220828939,5.74046780445737 45.1888554781988,5.74053895345587 45.1889032841548,5.74059421309779 45.188938866756,5.74063979596092 45.1889071149288,5.7407322341024 45.1888435799725,5.74077408747613 45.1888137215808,5.74081725756355 45.1887847318011,5.74087262301301 45.1887446310244,5.74092320744837 45.1887109543402)))",CONSSURF0000000007535689,Pont,
"MULTIPOLYGON (((5.77641504929563 45.1825928113595,5.77634213843695 45.1825612891115,5.77620417517543 45.1825025538671,5.77614302947746 45.1824770456493,5.77494428870404 45.1827348029354,5.77502056888391 45.1827572325843,5.77516962535204 45.1828084856636,5.7752680736405 45.1828411755996,5.77641504929563 45.1825928113595)))",CONSSURF0000000007535688,Pont,
"MULTIPOLYGON (((5.77982846069117 45.1835475694679,5.78009952116413 45.1839507613664,5.78013665573626 45.1840056968068,5.78028509273292 45.1840443450547,5.78047619281759 45.184095444904,5.78057815002058 45.1841217360615,5.78052167672758 45.1840366493899,5.78026764740455 45.1836429448877,5.78018263617853 45.1836243401252,5.77997526529982 45.1835790509488,5.77988766459733 45.1835596094913,5.77982846069117 45.1835475694679)))",CONSSURF0000000007535687,Pont,
"MULTIPOLYGON (((5.78182045809085 45.1872432933349,5.7817545117492 45.1872494417776,5.7816430240543 45.1872621310015,5.78157589484858 45.1872701107682,5.78152390123674 45.187275010383,5.78154620083346 45.1873645522642,5.78156845565691 45.1874531942843,5.78158762737287 45.1875311014246,5.78163462083875 45.1875281283476,5.78170688526329 45.1875209215495,5.78180714504938 45.1875130169855,5.78187181917943 45.1875069002268,5.78185347109694 45.1874199628373,5.78183471943073 45.1873249267216,5.78182045809085 45.1872432933349)))",CONSSURF0000000007535686,Pont,
"MULTIPOLYGON (((5.70775890068991 45.2061825369235,5.70786467175837 45.2060772634823,5.7077595317364 45.2061167522377,5.70716657251542 45.2063464575381,5.70715360381122 45.2064206498902,5.70707670289705 45.2065693692396,5.70708709140175 45.2066258772414,5.70755616764568 45.2064433230965,5.70767004467827 45.2064000188747,5.70768836665554 45.2063311023315,5.70775890068991 45.2061825369235)))",CONSSURF0000000007535682,Pont,
"MULTIPOLYGON (((5.78261586541963 45.2029680563605,5.78259875116178 45.2029315427415,5.78256619943916 45.2028665825232,5.78248159043681 45.2028822058775,5.78235774683927 45.2029033118334,5.78225931564616 45.202922883395,5.78220253011364 45.2029342092512,5.78222100671808 45.202972490934,5.78224915620038 45.2030258482174,5.7823162145181 45.2030160682956,5.78241227959933 45.2030001595716,5.78254371573457 45.2029779633549,5.78261586541963 45.2029680563605)))",CONSSURF0000000007535679,Pont,
"MULTIPOLYGON (((5.78304611664622 45.2040565276447,5.78301147922773 45.2040519851528,5.78288056696977 45.204033624716,5.78275738190991 45.204016873495,5.78284842251333 45.2041812856301,5.78291966832177 45.2043065479877,5.78299949437508 45.2044505170196,5.7831240933568 45.204674458166,5.78323700694234 45.2046896631118,5.78334469429433 45.2047022952893,5.78341901674336 45.2047103532633,5.78329754582758 45.2044980471754,5.78321653580709 45.2043559098081,5.78314524438581 45.2042297477774,5.78304611664622 45.2040565276447)))",CONSSURF0000000007535678,Pont,
"MULTIPOLYGON (((5.68748085838497 45.2076941204154,5.68752826390998 45.2076992860286,5.68755984560082 45.2076669928885,5.68761092878765 45.2076162114894,5.68754803026221 45.2076069141018,5.687537759348 45.207605359427,5.68745936779437 45.2075919301764,5.68737847356602 45.2075794620479,5.68725908517245 45.207561613689,5.68722489780363 45.2076191958456,5.68719541242713 45.2076685563487,5.68728245518794 45.2076763719239,5.6873656788835 45.2076842793469,5.68745144866266 45.207692125429,5.68748085838497 45.2076941204154)))",CONSSURF0000000007535677,Pont,
