WKT,ID,NATURE,TOPONYME
"MULTIPOLYGON (((5.78023177524131 45.1192075090941,5.78022953681649 45.1191625168635,5.78016598869533 45.1191641016546,5.78016822706907 45.1192090938865,5.78023177524131 45.1192075090941)))",PAIHABIT0000000007546100,Quartier,le Charbot
"MULTIPOLYGON (((5.69788184551768 45.1772175349523,5.69787967111214 45.1771725404788,5.69781605468051 45.1771740783677,5.69781822903486 45.1772190728424,5.69788184551768 45.1772175349523)))",PAIHABIT0000000007545259,Quartier,les Îles de Seyssinet
"MULTIPOLYGON (((5.80341277829173 45.1436920594494,5.80341052022225 45.1436470674211,5.80334694491745 45.1436486654299,5.80334920293581 45.1436936574595,5.80341277829173 45.1436920594494)))",PAIHABIT0000000007545672,Lieu-dit habité,le Noyaret
"MULTIPOLYGON (((5.42130231870186 45.1840811201734,5.42130036689674 45.1840361205195,5.42123673541925 45.1840375008007,5.42123868717314 45.1840825004557,5.42130231870186 45.1840811201734)))",PAIHABIT0000000007545321,Lieu-dit habité,le Couet
"MULTIPOLYGON (((6.06053141666692 45.1497995682431,6.06052895132558 45.1497545815921,6.06046537676206 45.1497563260982,6.0604678420523 45.1498013127506,6.06053141666692 45.1497995682431)))",PAIHABIT0000000007545435,Lieu-dit habité,Pourchery
"MULTIPOLYGON (((5.78671187044376 45.1117623313129,5.7867096271026 45.1117173392946,5.78664608762716 45.1117189277751,5.78664833091726 45.1117639197947,5.78671187044376 45.1117623313129)))",PAIHABIT0000000007546103,Lieu-dit habité,Brié Bas
"MULTIPOLYGON (((5.68602271885543 45.1651463703487,5.68653418621362 45.164977293887,5.68732589186247 45.164809574148,5.68751408506004 45.1647771123388,5.68760522369132 45.1647920347951,5.68771471380716 45.1649236365714,5.68809880757533 45.1653891760505,5.68846650952097 45.1659902495948,5.68876741643379 45.1659181315127,5.68896054636502 45.1653269687107,5.68944443030121 45.1638449804292,5.68950910602071 45.1636542251233,5.68957034210023 45.1634185059583,5.68956038235311 45.1628151198409,5.68962677067673 45.1622369213458,5.68969486304738 45.1616676911183,5.68990372242843 45.1611392128693,5.6897409643176 45.1599016495652,5.6896998237008 45.1594440660267,5.68970088018518 45.1579854287775,5.68969805294793 45.1577152168635,5.68979953365102 45.1574956451653,5.69007563750019 45.1572268161041,5.69013939310077 45.1570171630706,5.69010429135528 45.1566585370225,5.69010125707793 45.1565955448457,5.69009521707961 45.1564965878103,5.69009455532929 45.1562713704081,5.69057920801594 45.1556533542778,5.69026671179831 45.1555365619427,5.69002578773055 45.1553459682776,5.68913123222618 45.1546440865774,5.68857352566192 45.154273731937,5.68620249635422 45.1554615199951,5.68587254902903 45.1556964991456,5.68544519490361 45.1559977882458,5.68510661414076 45.1560798144859,5.68470448277575 45.1561642700009,5.6844088079338 45.1558938983655,5.6841017149808 45.1556508286849,5.68379721935853 45.1554617515992,5.68362420830428 45.1553325759538,5.68315289277943 45.1553285971645,5.6822307467845 45.1550048155413,5.68209801326192 45.1549188148027,5.68204312136699 45.1546507564711,5.68199894118595 45.1545527163615,5.68185562695755 45.1544849883548,5.68166021169432 45.1544194135669,5.68149102979694 45.1543432976435,5.68138999708527 45.1541484225782,5.68122967056641 45.154018037668,5.68104520460845 45.1539152605918,5.68086546680357 45.1538844439483,5.68061248739295 45.1539193529964,5.68010192383662 45.1541054998295,5.68049619773472 45.1547329836943,5.68084118543441 45.1551823658931,5.68105880064395 45.1554185852802,5.68117771301705 45.1556941146951,5.68110092502514 45.1561103879222,5.68133685598579 45.1564362597502,5.68173442126014 45.1569195123512,5.68184364633141 45.1572583393053,5.681895150391 45.1574823337851,5.68204533791208 45.1576399897902,5.68207049759495 45.1578456980328,5.68206337234774 45.157935962395,5.68203273485869 45.1582790526015,5.68192429332389 45.1588051002955,5.68181494222312 45.1593122502161,5.68162305385495 45.1599303965966,5.68149326784325 45.1603037986785,5.68138846835608 45.1606937177699,5.68143666849608 45.161061040113,5.68145387979916 45.1613399150921,5.6815023855925 45.1615279448313,5.68175363014079 45.161880476682,5.6819203955231 45.1621179177151,5.68194689657825 45.16235152287,5.68189511315904 45.162758186828,5.68193303795137 45.1629644894789,5.68227072116701 45.1632870138071,5.68236877235204 45.1634459233634,5.68237823282887 45.1635898450288,5.6822385509001 45.1638103276882,5.68196630995576 45.1641610280287,5.68192834543315 45.164378164254,5.68191310732592 45.16538667348,5.68303367969607 45.1655957775343,5.68373642814143 45.1650076852845,5.68376423570388 45.1652682869388,5.68381075081571 45.1656266403161,5.68383336867233 45.1657792548783,5.68385168683879 45.1658689075578,5.6841517338942 45.1657788040693,5.6847856864253 45.1655347145756,5.68539676251636 45.1653181999537,5.68602271885543 45.1651463703487)))",PAIHABIT0000000007545494,Quartier,Montrigaud
"MULTIPOLYGON (((5.85255201538421 45.1493593935579,5.85254971751849 45.1493144024726,5.85248613718306 45.1493160284823,5.85248843499765 45.1493610195689,5.85255201538421 45.1493593935579)))",PAIHABIT0000000007545652,Lieu-dit habité,les Bonnets
"MULTIPOLYGON (((5.73574541688323 45.1476175404268,5.73665606003699 45.1466888458568,5.73783724772898 45.1454102407801,5.73900787206594 45.1441769291745,5.73931956916987 45.1438611491886,5.73941556415904 45.1437677954742,5.73925601464402 45.1436554916044,5.73830923209553 45.1433516961026,5.73788231104229 45.143238746942,5.73727477563202 45.1430770731095,5.73547683411446 45.1426013378055,5.73520725913576 45.1425556943005,5.73404836788038 45.1423390516257,5.73369502421359 45.1423765432946,5.73297136021476 45.1424168023017,5.73219854606171 45.1424672701249,5.73176851305086 45.1424985257885,5.73173036743891 45.1424994601049,5.73152657213034 45.1424972439533,5.73130913764492 45.1424764415674,5.73070470880818 45.1423777228267,5.73069199362589 45.1423780341457,5.73050003425864 45.1423575074134,5.73048731907982 45.1423578187091,5.73029663536347 45.14236338784,5.73013353310172 45.142386300405,5.72994851851311 45.1424818247729,5.72947240082247 45.1428205211956,5.72920540753353 45.1430360744121,5.72900767384393 45.1431319083828,5.72878279429084 45.1431932692695,5.72870033312934 45.1433034002681,5.7286060793018 45.143432739568,5.72804245455399 45.1444042323514,5.72799637929098 45.1444774349723,5.72774070427089 45.1448728967489,5.72757449826015 45.1450670609719,5.72669522240479 45.1460931142716,5.72654128597081 45.1462779674302,5.72642246835833 45.1464259241016,5.72633999777442 45.1465360534398,5.72544134497025 45.1476616737146,5.72730200801515 45.1470738240829,5.72885136382085 45.1466034748073,5.7296374526009 45.1463544984247,5.73022491221659 45.1461833553111,5.73047870533814 45.1461663312716,5.73070799006881 45.1461688265714,5.73095214669493 45.1462151036853,5.73135496441806 45.1463556983303,5.73255687173228 45.1468776394667,5.73291054527571 45.1470284421745,5.73340591053952 45.1472388379632,5.73528896338543 45.1480720020371,5.73574541688323 45.1476175404268)))",PAIHABIT0000000007545703,Quartier,la Commanderie
"MULTIPOLYGON (((5.72396610200929 45.1564404887659,5.7242750835231 45.1566924164547,5.72451222428785 45.1568289747948,5.72492925799417 45.1567899587848,5.72521993900123 45.1567450184307,5.72567938540161 45.1567662279218,5.72691101500721 45.156719911897,5.72734506884994 45.1567426361786,5.72805669048922 45.1567387505856,5.72875910786168 45.1567810339749,5.72896163597905 45.1567562589968,5.72909846425608 45.156715972886,5.72919757329151 45.1566594913604,5.7293707972818 45.156582276546,5.72941639694739 45.1564991745484,5.729415957148 45.1564901758201,5.72948483836733 45.1563623576785,5.72951600405741 45.1562444717878,5.72953665037764 45.1561718907153,5.72970170190271 45.1556930521217,5.72950626357268 45.1552635769307,5.72942913454389 45.1550402269329,5.72931389604602 45.1548187102589,5.72918347209222 45.1548336134957,5.72931327330901 45.1547538572056,5.7293667501797 45.1532686869281,5.72934257597973 45.1531908959161,5.72925981278399 45.1531127364882,5.72874457419131 45.1527829811921,5.73007901791557 45.1517160414515,5.73051490444124 45.151360309337,5.73073589922028 45.1512188563035,5.73082355562288 45.1511887809943,5.7308241478227 45.1507842407283,5.73021214354097 45.1507667877219,5.72939671010309 45.150755210157,5.72922795799724 45.1506890652695,5.72816262067615 45.1507484610945,5.72693244179908 45.1508217870463,5.72507487279024 45.1510320559108,5.72441809904364 45.151114768839,5.72310805502838 45.1513260456436,5.72172432833571 45.1515931613748,5.72200126074029 45.151972008445,5.72202972160602 45.1520073517434,5.72210949097433 45.1520765798333,5.72224977752458 45.152081264868,5.72234265921717 45.1521321539043,5.72293170665868 45.1526187023924,5.7231069933069 45.1527666833219,5.72326868640294 45.1529231043728,5.72337871993029 45.153064569409,5.72347116547048 45.1531064587727,5.72371754069481 45.153197745516,5.72332804236485 45.1536964686931,5.72330517985087 45.1547682516033,5.72329979480203 45.1551017331312,5.72331330856248 45.1553266397775,5.72339124729817 45.1555670916415,5.72343589585726 45.1556732142493,5.72347971079454 45.1557622392167,5.72359229496228 45.1559297694626,5.72361948701927 45.1559651434393,5.72364926754279 45.156027482608,5.72382891186627 45.1562645501506,5.72385654313839 45.1563089228222,5.72396610200929 45.1564404887659)))",PAIHABIT0000000007545706,Quartier,les Granges
