WKT,ID
"MULTILINESTRING ((5.73642927579982 45.0850437919924,5.7362063179055 45.0851654884086,5.73322328590452 45.0867621873303))",LIGNELEC0000000024796654
"MULTILINESTRING ((5.76309899315299 45.0445594464962,5.76286148930038 45.0463897383251,5.76733937781195 45.0502561796145,5.76963912001369 45.0521675566093))",LIGNELEC0000000024796712
"MULTILINESTRING ((5.90179768889471 45.2378096768719,5.90093269083604 45.2386367665634,5.89678379992703 45.2374784740026,5.89297563310267 45.2367635265748,5.89044224167664 45.2362830808382,5.88814937994837 45.235915296241,5.88728401364553 45.2355069744931))",LIGNELEC0000000024796764
"MULTILINESTRING ((6.07514878920648 45.029982884747,6.07672159623099 45.030578272619,6.07829870214872 45.0311356755878))",LIGNELEC0000000024796765
"MULTILINESTRING ((6.03635438794358 45.2028438127197,6.03618374918446 45.2031043621151,6.0347119613614 45.2086653344086,6.03465825154508 45.2090137126262))",LIGNELEC0000000024796796
"MULTILINESTRING ((5.66414536751419 45.1004570073234,5.67210229353432 45.0990250565305))",LIGNELEC0000000024796847
"MULTILINESTRING ((5.73476617939932 45.0932155752183,5.73256413053572 45.0945876657297,5.72874690336715 45.0966704693907,5.72819100824896 45.098259816035,5.72714895419032 45.1013575118023,5.72645100381 45.1034269204789,5.72321950848872 45.1050672452768,5.71962224720256 45.1068551416201,5.71698938717008 45.1081770550862,5.71427966818238 45.1095431192294,5.70999019477564 45.1080348223568))",LIGNELEC0000000024796655
"MULTILINESTRING ((6.07488299435081 45.2800642077701,6.07482887058217 45.2806793576624,6.07238172835712 45.2835446079395,6.07147075261441 45.2845942094025,6.07010378061464 45.2865195952339,6.06869169720433 45.2885083776764,6.06607266723306 45.2922288468731,6.06499472171342 45.2937290207489,6.06438642290079 45.2946233795158,6.06316839589965 45.2963175080247,6.06313441494278 45.3002734355737,6.06309481729255 45.3039880205279,6.06303695896106 45.3111552892991,6.06298775395025 45.3169012658249,6.06298219076187 45.3187505141744,6.06534881949111 45.3235039808991,6.0672900636752 45.3274157122928,6.06869484796901 45.3302121252811,6.06991446437051 45.3327063228313,6.07144380967578 45.3354398196621,6.07345749980581 45.3390746435684,6.07448218872127 45.3409704040007,6.07659194675062 45.3437699035172,6.07830139861377 45.3461208047552,6.0822231207072 45.3514016442283,6.08503796468453 45.3551935685727,6.0862604660271 45.3568639168252,6.08667205745976 45.3588458810692,6.08737450700935 45.3622219931897,6.08772130844525 45.363818255203,6.08894772786717 45.3696985947687,6.08939717428711 45.3719904073577,6.08973370482687 45.3736067775208,6.09185998742219 45.3835219198164,6.09289857152042 45.3885847005519,6.09333652120291 45.3906641607479,6.09383263744172 45.3931448258431,6.09415194980654 45.394539088269,6.09439820899799 45.3958614746663,6.09532348087776 45.400649832579,6.09582629088697 45.4034312958576,6.09645314511829 45.4068770817106,6.09749662563497 45.4127011979803,6.0981115074031 45.4173746822497,6.09844848777349 45.4197471053457,6.09925493728194 45.4256958327711,6.10000980849706 45.4290650903275,6.10181970400622 45.4314994980969))",LIGNELEC0000000024796857
"MULTILINESTRING ((5.66182728386678 44.9553343729714,5.66160426325872 44.9518938684353,5.66215862660122 44.9512517831868))",LIGNELEC0000000024796861
"MULTILINESTRING ((5.74282408213783 45.0936355728147,5.74263315983017 45.0931402501388,5.74231337766144 45.0914957964589,5.74127399270426 45.0911015335103,5.73960410669221 45.0904804123248,5.74000656421899 45.0889344165595,5.73853736696889 45.0887218767054,5.73856619975338 45.088609451794))",LIGNELEC0000000024796866
"MULTILINESTRING ((5.6722543222385 45.0998637660176,5.66414536751419 45.1004570073234))",LIGNELEC0000000024796940
"MULTILINESTRING ((5.78293542516422 45.2030637041062,5.78585751670867 45.204386449141,5.78761994036947 45.2056326659569,5.7878239404341 45.206093380314))",LIGNELEC0000000024796879
"MULTILINESTRING ((5.77646354628047 45.0542238368587,5.7859041905429 45.0578576237725,5.78674880317382 45.0582518289957,5.79084101618367 45.0600170224845,5.79435744526882 45.0614478523136))",LIGNELEC0000000024796873
"MULTILINESTRING ((6.02786711769269 45.1187175895232,6.0264710890128 45.1172390091594,6.02533513771284 45.116073232841,6.02336927974925 45.1141505411822))",LIGNELEC0000000024796892
"MULTILINESTRING ((6.00161686578939 45.3849279408335,6.00190994237192 45.3855247259924,6.00434448885363 45.3849998852844))",LIGNELEC0000000024796926
"MULTILINESTRING ((5.67047775067562 45.2167483556534,5.66855984760227 45.2188645548055,5.66709653545413 45.2206797618819,5.66585705217942 45.2225923128767,5.66436682313895 45.2245684904667,5.66255019380386 45.2265731489339,5.66067083123817 45.2290027100717,5.65906187007949 45.2311969628694,5.66322432134621 45.2331086969297))",LIGNELEC0000000024796989
"MULTILINESTRING ((5.64074374623439 45.2266484612099,5.64006004576772 45.2284727862531))",LIGNELEC0000000024796991
"MULTILINESTRING ((5.9081493244636 44.816279276649,5.90785015924864 44.8156348455389,5.89971123491364 44.8200445203497,5.89462492235891 44.8227675780206,5.88673175864535 44.8252490622803,5.88349726036347 44.8262845845606,5.87428190514921 44.8291959335799,5.86718916198366 44.8314435248229,5.85781782648573 44.8347800305996,5.85774334384847 44.833913463365))",LIGNELEC0000000024796737
"MULTILINESTRING ((5.59199324715038 45.2823515805485,5.58987701317356 45.2841835389735,5.58169247886734 45.2928270215184,5.57630476231312 45.2984567718969,5.57251235332014 45.3027720652722))",LIGNELEC0000000024796929
