WKT,ID,NATURE,TOPONYME
"MULTIPOLYGON (((5.69989152527439 45.1275075185715,5.69991664978584 45.1272636588173,5.6999765716623 45.1269234577705,5.70004072373057 45.1267498264918,5.70007795741525 45.1263615245416,5.70012785871828 45.1259720149045,5.70006474559462 45.1259564255949,5.70010522675355 45.1255563329517,5.70017009901601 45.1255556628709,5.70024439829046 45.1250916860476,5.70027317973259 45.1247918800276,5.70032079354497 45.1243024224931,5.70034105771513 45.1240370581341,5.70034111121483 45.1240118307844,5.70035887991363 45.123852836669,5.70034891497863 45.1237783007887,5.70030784136554 45.1239027230408,5.70030007418727 45.1239263353475,5.70017429980784 45.1243257908257,5.70006738628163 45.1247995666465,5.69997113132952 45.1253622764048,5.69991129046303 45.1258358131434,5.69987577217558 45.1262069557467,5.69985918037433 45.1266010642776,5.69986874099026 45.1270359824116,5.69989152527439 45.1275075185715)))",EQ_RESEA0000000007471641,Aire de triage,
"MULTIPOLYGON (((5.70260422967578 45.1275201812975,5.70200174858196 45.1277203747616,5.70149636285537 45.1279019957022,5.70132944872269 45.1280033402326,5.70113743852139 45.1281647539459,5.70097949365467 45.128425345554,5.70091628007069 45.1286710292725,5.70089530673228 45.128842714332,5.7008848856844 45.1288114341428,5.7007906575263 45.1284155047275,5.70069966904327 45.1280339117388,5.70069468104816 45.1280097074021,5.7006787503462 45.1279434243274,5.70062239415692 45.1276727080146,5.70059697221192 45.127436378793,5.70058098663971 45.1270529692365,5.70054602670447 45.1265402851985,5.70054419013927 45.126528617576,5.70050190586042 45.1262593623798,5.70047823831352 45.1261383099161,5.70043519625201 45.1262483650301,5.70030002426324 45.1264534472707,5.70015678936281 45.1266497152811,5.70007765463626 45.1268029880406,5.7000051057845 45.1270398878454,5.69996104432932 45.1272869089648,5.70003890730709 45.1274760209065,5.70012758561859 45.1278099208386,5.70023237921651 45.1281875761306,5.7003441961355 45.1286578572497,5.70047431679451 45.1289538152611,5.70059065890314 45.1291753295523,5.70068277124478 45.1293695017243,5.70080688162617 45.1298043485678,5.70095315597879 45.1304080337413,5.70108714126222 45.1309417438487,5.70122613173622 45.1313419946764,5.70130420736756 45.1314563236115,5.70130693784188 45.1313021980127,5.70127334244882 45.1311075095213,5.70114149634284 45.1305917663891,5.70111018822623 45.1302600808095,5.70109821027131 45.1299333326016,5.70121515183394 45.1303251080664,5.70150130967298 45.1314263225321,5.70156842671898 45.1314192908898,5.70125990181653 45.1302240205294,5.70115571614774 45.1298328370488,5.7010300563153 45.1293133404548,5.70102673578075 45.1291656680576,5.70102691475339 45.1290377313966,5.70105315635758 45.1288433953832,5.70112932347043 45.1286550574095,5.70122818838006 45.1284886928112,5.70135123974554 45.128348770117,5.70149146887414 45.1282219450729,5.70167338621113 45.1280887041646,5.70189181025392 45.1279734978999,5.7022793125952 45.1278280666336,5.70261253412071 45.1277181850886,5.70321619712812 45.1275161577531,5.70310732716851 45.1273440162505,5.70260422967578 45.1275201812975)))",EQ_RESEA0000000007471640,Aire de triage,
"MULTIPOLYGON (((5.69574644315081 45.2126618025329,5.69620794884426 45.2124263247999,5.6964675097302 45.212284915409,5.69694430701678 45.212102221151,5.69641618521827 45.2121987628519,5.69633127706194 45.2122089215868,5.69552979017668 45.2122931394434,5.69527643717866 45.2122992547443,5.69505038498493 45.2123164228936,5.69488220123987 45.2123177789242,5.69465899935854 45.2123411841167,5.69449360979253 45.2123740052612,5.6943374361772 45.2124129104206,5.69418160999166 45.2124590145455,5.69385728624779 45.2126055845811,5.69342635114717 45.2127880601162,5.69258931383772 45.2131659214404,5.69056927844647 45.2140434795776,5.69019519533142 45.2141894355492,5.68971932760581 45.2143657711174,5.68924581450806 45.2145645715119,5.68885660424882 45.2147406183064,5.68843702393562 45.2148948712076,5.68813560424563 45.2150147452221,5.68771027677157 45.21515561948,5.68776115261517 45.2153120602973,5.68777538615967 45.2153693781723,5.68762414626273 45.2154315794678,5.68767750230894 45.2154807482541,5.68788963836299 45.2157035815682,5.68772791997949 45.2158128843074,5.68751386422985 45.2160000266021,5.68719483397603 45.2162572652615,5.68684318985786 45.2164990706162,5.68737058243299 45.216253937169,5.68753617711679 45.2161985983708,5.6877985638427 45.2161679581404,5.68832306419232 45.2160481209725,5.68867815005267 45.2159837140446,5.68902408025929 45.2158087101873,5.68978992523644 45.2154334925916,5.69184599029421 45.2145352605057,5.69354555481664 45.2138050561186,5.69483232516588 45.2132379481903,5.6950464386697 45.2131318749594,5.69528423186597 45.2129882909446,5.6955822896429 45.2127729778322,5.69574644315081 45.2126618025329)))",EQ_RESEA0000000007471638,Aire de triage,
"MULTIPOLYGON (((5.63445152812149 45.2972256499575,5.63444940024717 45.2971806531346,5.63438564509285 45.2971821549167,5.63438777291574 45.2972271517409,5.63445152812149 45.2972256499575)))",EQ_RESEA0000002205879921,Parking,Saint-Jean
"MULTIPOLYGON (((5.74083208181122 45.0863419345895,5.74103336020947 45.086115352344,5.74153573748461 45.0855453114146,5.74170075681957 45.0853574594559,5.7419269469956 45.085120352138,5.74175809046148 45.0852299172659,5.74159583980158 45.0853185980015,5.74138392696559 45.0854319248093,5.74119413638379 45.085555518183,5.74104577711972 45.0856681816354,5.74097116064701 45.0857285782505,5.74085136299583 45.0858531519167,5.74070354921568 45.0860288671177,5.740568657386 45.0862087689569,5.74048341013296 45.0863117707863,5.74038396941139 45.0864106169487,5.74022427087726 45.0865514871988,5.74005230148662 45.0866755411548,5.73985575565658 45.0867911897984,5.73960695231066 45.0869045192498,5.73925697655712 45.0870554720411,5.73891943704006 45.0872007123648,5.73866861044888 45.0872987734417,5.73843692508175 45.0873981653715,5.7382128968754 45.0874721423834,5.73802854723049 45.0875253232775,5.73800349439546 45.0875331464097,5.73784454972579 45.0875857027027,5.73768823341525 45.0876399960566,5.73744138241113 45.0877154331751,5.73718682099665 45.0877892572719,5.73694781054686 45.0878690053411,5.73672955730489 45.0879311252538,5.73654625481173 45.0879797732275,5.73655344988804 45.0880228414764,5.73689386351777 45.0879360988541,5.73670294645764 45.0880110612919,5.73651045032299 45.0880797556164,5.73629745304958 45.0881453493156,5.73602401003677 45.0882232381133,5.73574312065783 45.0883049127976,5.7355732673885 45.0883685448277,5.73583466932397 45.0883044668644,5.73677694497518 45.0880678046458,5.7379684721476 45.0877529347482,5.73800368726425 45.0877448619059,5.73877705089255 45.0875393610902,5.73955290527396 45.0873328926012,5.74005014374064 45.0871765156464,5.74038995607413 45.087025810296,5.74073655004369 45.0868578192311,5.74098253675463 45.0867130236537,5.74109319762331 45.086635523421,5.74131657364458 45.0864705617447,5.74135090513333 45.0864444907917,5.74151629914676 45.08631609185,5.74169048649425 45.0861595471835,5.74189308451436 45.0859599589719,5.74203520515841 45.0857978962854,5.74219062593568 45.0855958647766,5.74231762497957 45.0854107494731,5.74245760525088 45.085153239419,5.74253156266789 45.0849757359938,5.74254455427049 45.0849294683467,5.74229658014627 45.0848779119728,5.74228227401407 45.0849233110017,5.74222734990949 45.0850480913695,5.74216257276982 45.0851794207766,5.74210904124398 45.0852807424129,5.74202524496544 45.0853873135446,5.74191425367788 45.0855098698136,5.74124945954456 45.0861911202653,5.74099035926217 45.086405611321,5.74083208181122 45.0863419345895)))",EQ_RESEA0000000007471642,Aire de triage,
"MULTIPOLYGON (((5.70768491838138 45.2038175348837,5.70766426716024 45.2040748064407,5.70761201052268 45.2043373491995,5.70751736644987 45.2045405561599,5.70734996179745 45.2048464337408,5.70747540992589 45.2048578070382,5.70755184415441 45.2048045994134,5.70763115627072 45.2046531183818,5.70766807180791 45.2046522231614,5.70768800891331 45.2046166026167,5.7079790575869 45.2039698694375,5.70832437345582 45.2032335259651,5.7085174194473 45.2028522458959,5.70866932463154 45.2025161101224,5.70910570576245 45.2015559209475,5.7095535769958 45.2005702244482,5.70962821928011 45.20024407089,5.70968601766946 45.2000696856973,5.70970046721038 45.2000260893955,5.70985063103143 45.1997593672788,5.71033684647342 45.1991439280462,5.71007033479704 45.1994026638183,5.70976159300559 45.1996840467076,5.70951708112824 45.1998710720514,5.70922680326774 45.2001916470479,5.70903446832192 45.2004035326406,5.70891601332223 45.2005622711696,5.70874134663577 45.2008494073008,5.70855590224482 45.2010458086769,5.70846010658052 45.2011463361753,5.70831026959754 45.2012887172632,5.70813093734498 45.2014273088348,5.7079001957073 45.2016094916314,5.70761271390662 45.2019092724556,5.70748235589751 45.2022430822162,5.70749059475481 45.2024654169723,5.70752924573978 45.2027104389336,5.70756993220151 45.2028923450601,5.70757077226991 45.2030409813957,5.70760867506997 45.2032968329203,5.70767280951172 45.2036205205023,5.70768491838138 45.2038175348837),(5.70889392892035 45.2009736401359,5.70902757377375 45.2009965249465,5.70876079941771 45.2015651904772,5.70856713566965 45.2019861277917,5.70843221574806 45.2019632733037,5.70830085254682 45.2019349266796,5.70846557891385 45.2015741545641,5.70848305601086 45.2015403954399,5.7086214878053 45.201556857991,5.70880228385151 45.2011596574739,5.70889392892035 45.2009736401359)))",EQ_RESEA0000000007471639,Aire de triage,
"MULTIPOLYGON (((5.73922120389464 45.0906087497454,5.73917616087166 45.0905720176181,5.73898689272192 45.0904730622594,5.73878698567459 45.0903905849799,5.73853526012645 45.0903147865376,5.73830063017817 45.0902764068159,5.73803551265872 45.0902387757678,5.73796130479637 45.0902297879605,5.73781924078527 45.0902116561347,5.73509765425834 45.0898514497424,5.73405739802568 45.089905809223,5.73473301412028 45.0899892335979,5.73651337959019 45.0902185079401,5.73738411997001 45.0903385673777,5.73774254457839 45.0903856196715,5.73778354771496 45.0903918197278,5.73796114499098 45.0904343047609,5.73813445442901 45.0904931117661,5.73834233547252 45.0905826017458,5.73852309932644 45.0906637484288,5.73872262610108 45.0907903815186,5.73882777975506 45.090859872018,5.73886979720938 45.0908867683356,5.7391448815483 45.0911277645672,5.73962297458631 45.0915403531394,5.74008784180027 45.0919424538355,5.74026018877329 45.0918517255141,5.74030089319236 45.091877752685,5.74045766815978 45.0919883164163,5.74053969493345 45.0920529685623,5.74068785176939 45.0921952768279,5.74065774218655 45.0921518713589,5.74051408485407 45.0919716129543,5.7404219486587 45.0918045023615,5.74035252042776 45.0916854839728,5.74032591372681 45.0916356857146,5.74023107877584 45.0915172920771,5.74014049630146 45.091407803189,5.73972549367158 45.091036910632,5.73934161009442 45.0907039920241,5.73922120389464 45.0906087497454)))",EQ_RESEA0000000342845986,Aire de triage,
"MULTIPOLYGON (((5.63308936493671 45.2897691336166,5.63308723844674 45.2897241368322,5.63302349178488 45.289725637836,5.63302561822345 45.2897706346216,5.63308936493671 45.2897691336166)))",EQ_RESEA0000002205873512,Parking,
"MULTIPOLYGON (((5.75288819098873 45.1045987671093,5.7528381192502 45.1045378385158,5.75261557795546 45.1046172125218,5.75280388352277 45.1047468028368,5.75293911943783 45.1047029199769,5.75288819098873 45.1045987671093)))",EQ_RESEA0000002202422933,Parking,
"MULTIPOLYGON (((5.97853927735983 44.9367740879479,5.97853688714657 44.9367291020633,5.97847355153147 44.9367307997595,5.97847594169399 44.9367757856455,5.97853927735983 44.9367740879479)))",EQ_RESEA0000000222547575,Parking,
