WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((5.67456939549157 45.3545826031966))",PAIHYDRO0000002207127505,Détail hydrographique,Lavoir,lavoir des grollets
"MULTIPOINT ((5.84202316607368 45.3085246103121))",PAIHYDRO0000002207127686,Détail hydrographique,Fontaine,fontaine des ayes
"MULTIPOINT ((5.87484376692445 45.2234072248858))",PAIHYDRO0000002207235358,Détail hydrographique,Lavoir,lavoir du prunet
"MULTIPOINT ((6.04581845938613 45.0688716840125))",PAIHYDRO0000000320273739,Détail hydrographique,Lavoir,citerne des épicotes
"MULTIPOINT ((6.05175745717432 45.0591929818271))",PAIHYDRO0000000354644736,Détail hydrographique,Fontaine,fontaine de l'allier
"MULTIPOINT ((5.56011556154523 44.9945460346745))",PAIHYDRO0000002209679457,Détail hydrographique,Source,source de fontbessou
"MULTIPOINT ((5.64246339009437 45.0270448888386))",PAIHYDRO0000002209679667,Détail hydrographique,Source,source de l'échaillon
"MULTIPOINT ((5.55538512478025 45.011298846538))",PAIHYDRO0000000332220491,Détail hydrographique,Fontaine,fontaine de l'ours
"MULTIPOINT ((5.55538512478025 45.011298846538))",PAIHYDRO0000000332220491,Détail hydrographique,Fontaine,source bressant
"MULTIPOINT ((5.93333179692827 45.2023724528626))",PAIHYDRO0000000007458279,Détail hydrographique,Source,fontaine du berland
"MULTIPOINT ((5.87172678138448 45.1462247125368))",PAIHYDRO0000000007458385,Détail hydrographique,Source,source du rat
"MULTIPOINT ((6.049841760606 45.0780839956089))",PAIHYDRO0000000007458480,Détail hydrographique,Source,sources des gouteaux
"MULTIPOINT ((5.83160086165133 45.0894445511062))",PAIHYDRO0000000007458484,Détail hydrographique,Source,source bourdin
"MULTIPOINT ((6.15238072833051 44.966804658761))",PAIHYDRO0000000007458632,Détail hydrographique,Cascade,cascade de lanchâtra
"MULTIPOINT ((6.06073220683061 45.3132305747013))",PAIHYDRO0000000353861427,Détail hydrographique,Marais,le grand marais
"MULTIPOINT ((5.49656253049309 45.20310979657))",PAIHYDRO0000000320272844,Détail hydrographique,Citerne,réservoir des gailleux
"MULTIPOINT ((6.01021212162361 45.2850997482413))",PAIHYDRO0000000007458109,Détail hydrographique,Source captée,le clapier
"MULTIPOINT ((6.18782712865852 44.8699569398733))",PAIHYDRO0000000007458791,Détail hydrographique,Source,les pissoux
"MULTIPOINT ((6.18825615212197 45.0479196045195))",PAIHYDRO0000000335479238,Détail hydrographique,Résurgence,fontaine pétrifiante
"MULTIPOINT ((5.944910198963 45.3883805142482))",PAIHYDRO0000000007457959,Détail hydrographique,Cascade,cascade de la gouille michel
"MULTIPOINT ((6.1698727992612 45.0786589726757))",PAIHYDRO0000000354644734,Détail hydrographique,Source,source du cuchet
"MULTIPOINT ((5.68002613393649 45.3252401658579))",PAIHYDRO0000000007458068,Détail hydrographique,Fontaine,les trois fontaines
"MULTIPOINT ((5.98796013153125 44.9874110960693))",PAIHYDRO0000000336561574,Détail hydrographique,Source,source du gros fayard
"MULTIPOINT ((6.02350814359798 45.2994540824389))",PAIHYDRO0000000007458092,Détail hydrographique,Source,les duits
"MULTIPOINT ((5.85232432018859 45.2850204553993))",PAIHYDRO0000000007458114,Détail hydrographique,Cascade,cascade de la pissarote
"MULTIPOINT ((5.65803941231153 44.993790719352))",PAIHYDRO0000000007458647,Détail hydrographique,Fontaine,fontaine du loup
"MULTIPOINT ((6.0389045322283 45.3662343804201))",PAIHYDRO0000000319064134,Détail hydrographique,Marais,marais de sailles
"MULTIPOINT ((5.3537884823229 45.046853027151))",PAIHYDRO0000000006689342,Détail hydrographique,Cascade,cascade verte
"MULTIPOINT ((6.09802477557192 45.4090234268052))",PAIHYDRO0000000007457872,Détail hydrographique,Cascade,la pierre tombante
"MULTIPOINT ((5.96557745259346 45.4862599625504))",PAIHYDRO0000000007457720,Détail hydrographique,Marais,lac de bey
"MULTIPOINT ((5.95309754182855 45.4638653209165))",PAIHYDRO0000000007457753,Détail hydrographique,Source,source des éparres
"MULTIPOINT ((5.94324904433615 45.4650991681875))",PAIHYDRO0000000007457754,Détail hydrographique,Fontaine,fontaine fraisière
"MULTIPOINT ((5.93921154016374 45.4508732701829))",PAIHYDRO0000000007457763,Détail hydrographique,Source,source du cernon
"MULTIPOINT ((5.92151222801204 45.4262822779666))",PAIHYDRO0000000007457873,Détail hydrographique,Source,source de la vieille
"MULTIPOINT ((5.92350727864934 45.4286919971229))",PAIHYDRO0000000007457874,Détail hydrographique,Fontaine,fontaine du bénitier
"MULTIPOINT ((5.78582672701633 45.4117180400316))",PAIHYDRO0000000007457916,Détail hydrographique,Fontaine,fontaine barthélemy
"MULTIPOINT ((6.08985119028874 45.3910973873087))",PAIHYDRO0000000007457952,Détail hydrographique,Source,source de tillerey
"MULTIPOINT ((5.91930960682739 45.3971395520987))",PAIHYDRO0000000007457960,Détail hydrographique,Source,source du glacier
"MULTIPOINT ((5.82150551528066 45.399807593561))",PAIHYDRO0000000007457962,Détail hydrographique,Source,source des oiseaux
"MULTIPOINT ((5.99929072068806 45.3725010018086))",PAIHYDRO0000000007457985,Détail hydrographique,Source,source de majomard
"MULTIPOINT ((5.9347587247421 45.3547125827216))",PAIHYDRO0000000007458005,Détail hydrographique,Fontaine,fontaine dravy
"MULTIPOINT ((5.85706979491251 45.3300228263957))",PAIHYDRO0000000007458040,Détail hydrographique,Source,fontaine noire
"MULTIPOINT ((5.79168811369744 45.3307333295929))",PAIHYDRO0000000007458044,Détail hydrographique,Fontaine,fontaine de frettevieille
"MULTIPOINT ((5.85528091032831 45.3286178263178))",PAIHYDRO0000000007458039,Détail hydrographique,Cascade,cascade du guiers
"MULTIPOINT ((6.0237696271259 45.3093275673959))",PAIHYDRO0000000007458060,Détail hydrographique,Source,source du fontanil
"MULTIPOINT ((6.0010662861434 45.3210017227921))",PAIHYDRO0000000007458062,Détail hydrographique,Source,fontaine froide
"MULTIPOINT ((5.88164467307809 45.3250640416016))",PAIHYDRO0000000007458064,Détail hydrographique,Source,source du sanglier
"MULTIPOINT ((5.74803863780694 45.3245112536363))",PAIHYDRO0000000007458067,Détail hydrographique,Fontaine,fontaine de l'oursière
"MULTIPOINT ((6.03939434471893 45.3034118275223))",PAIHYDRO0000000007458087,Détail hydrographique,Source,source de crozet
"MULTIPOINT ((5.73626584338295 45.3053412789557))",PAIHYDRO0000000007458097,Détail hydrographique,Fontaine,fontaine claire
"MULTIPOINT ((5.90043112689267 45.2908803513826))",PAIHYDRO0000000007458113,Détail hydrographique,Marais,marais de montfort
"MULTIPOINT ((5.56644847190961 45.2960121678309))",PAIHYDRO0000000007458119,Détail hydrographique,Marais,marais de pierre peret
"MULTIPOINT ((5.81018518958539 45.2733995558637))",PAIHYDRO0000000007458135,Détail hydrographique,Source,source de sire mouton
"MULTIPOINT ((5.78170836051277 45.27955920309))",PAIHYDRO0000000007458137,Détail hydrographique,Source,source de pré boiteux
"MULTIPOINT ((5.77336573679432 45.2843777363154))",PAIHYDRO0000000007458140,Détail hydrographique,Source,source de fontfroide
"MULTIPOINT ((5.85219749823465 45.2819944516846))",PAIHYDRO0000000007458134,Détail hydrographique,Cascade,cascade de craponoz
"MULTIPOINT ((5.8888333779484 45.3053458423747))",PAIHYDRO0000000007458096,Détail hydrographique,Cascade,cascade de l'oule
