c2c;BDTOPO
37921;PAIOROGR0000000007454570
37889;PAIOROGR0000000007454870
37888;PAIOROGR0000000012528643
37887;PAIOROGR0000000007455128
37881;PAIOROGR0000000007454196
891617;PAIHYDRO0000000075594474
37864;PAIOROGR0000000007456556
37862;PAIOROGR0000000007456155
37806;PAIOROGR0000000075591304
37803;PAIOROGR0000000075590575
37757;PAIOROGR0000000007456749
37755;PAIOROGR0000000075589832
37754;PAIOROGR0000000075590736
37745;PAIOROGR0000000007454516
37709;PAIOROGR0000000075589698
37688;PAIOROGR0000000007454641
37687;PAIOROGR0000000007454700
37684;PAIOROGR0000000007456361
37676;PAIOROGR0000000007454642
37579;PAIOROGR0000000075590080
37573;PAIOROGR0000000007456532
37559;PAIOROGR0000000075590568
37550;PAIOROGR0000000007456459
37548;PAIOROGR0000000075589957
37542;PAIOROGR0000000007456323
37501;PAIOROGR0000000007456195
37423;PAIOROGR0000000075589933
37339;PAIOROGR0000000075589733
37335;PAIOROGR0000000075589748
845023;PAIOROGR0000000007454667
634487;PAIHYDRO0000000006689472
37333;PAIOROGR0000000007455807
37311;PAIOROGR0000000007454893
37301;PAIOROGR0000000007454251
37285;PAIOROGR0000000007456035
37231;PAIOROGR0000000007454830
410297;PAIOROGR0000000007454388
247037;PAIHYDRO0000000007458039
890200;PAIOROGR0000000006685833
204235;PAIHYDRO0000000037685679
39668;PAIOROGR0000000356600231
322049;PAIOROGR0000000007455014
151084;PAIOROGR0000000007454543
41687;PAIOROGR0000000007454605
41663;PAIOROGR0000000007456873
41641;PAIOROGR0000000012528582
41639;PAIOROGR0000000012528583
41623;PAIOROGR0000000075591416
41620;PAIOROGR0000000007455805
41612;PAIOROGR0000000007456359
41599;PAIOROGR0000000075590215
41561;PAIOROGR0000000007456011
41555;PAIOROGR0000000075589741
41554;PAIOROGR0000000007455803
41552;PAIOROGR0000000007456032
41528;PAIOROGR0000000007455606
41519;PAIOROGR0000000007455912
41516;PAIOROGR0000000075590383
41504;PAIOROGR0000000007456033
41501;PAIOROGR0000000007455934
41500;PAIOROGR0000000007455828
41496;PAIOROGR0000000075589922
41489;PAIOROGR0000000007455055
41464;PAIOROGR0000000075589844
41462;PAIOROGR0000000007455329
41452;PAIOROGR0000000007454272
41446;PAIOROGR0000000075589378
41414;PAIOROGR0000000007456239
41348;PAIOROGR0000000075590795
41311;PAIOROGR0000000007455163
41280;PAIOROGR0000000012527363
