WKT,ID,NATURE,TOPONYME
"MULTILINESTRING ((6.0767001255938 45.0562602386102,6.07661169238984 45.056039216196,6.07653338234742 45.0558404408432,6.0764513637912 45.0556435700688,6.07637315382858 45.0554465940337,6.07629616427393 45.0552486831797,6.07622558842711 45.05507492404,6.07621785645821 45.0550499076464))",TRANCABL0000002203891974,Autre remontée mécanique,
"MULTILINESTRING ((6.0703967280934 45.1274292378452,6.07067258367154 45.1264962254983))",TRANCABL0000000117243555,Autre remontée mécanique,
"MULTILINESTRING ((6.03829425345258 45.1259983602738,6.07217650920263 45.1273414616863))",TRANCABL0000002204245170,"Télécabine, téléphérique",Eau d'Olle Express
"MULTILINESTRING ((6.09018961920792 45.1619810508183,6.09075013224928 45.1620285998757,6.09141088903966 45.1620922914112,6.09251700816872 45.1621940955596,6.09337369333908 45.1622766737586,6.09427494239611 45.1623589104847,6.09440286603267 45.1623688787113,6.09674928949587 45.1626029346413,6.09813863467229 45.1627355686459,6.09873384920423 45.162788422029,6.09935108441117 45.1628478693287))",TRANCABL0000000321300267,"Télécabine, téléphérique",Télécabine de la Villette-Montfrais
"MULTILINESTRING ((6.06967791760938 45.0990099775377,6.06902408106571 45.1000777439224))",TRANCABL0000002003324976,Autre remontée mécanique,Téléski des Grenouilles
"MULTILINESTRING ((6.12476736297986 45.0043589637615,6.12501742786349 45.0042879626347,6.12556290762511 45.0041392780007,6.12694927007293 45.0037642141132,6.1284619353115 45.0033540426758,6.1299245578707 45.002957873286,6.13141227028078 45.0025564724498,6.13240068511238 45.0022889560913,6.13436495668558 45.0017569534033,6.1357610435432 45.0013760961705,6.13649050446178 45.0011798189848,6.13833833208188 45.0006789610585,6.1396257599153 45.0003317564578,6.14131334253833 44.9998732161495,6.14281692132648 44.9994631007354,6.14445093736865 44.9990240467234,6.14760583502538 44.9981679890973,6.14795601842551 44.9980715745428))",TRANCABL0000000330935746,Télésiège,Télésiège du Diable
"MULTILINESTRING ((6.06589137815118 45.0898187192815,6.06639922127907 45.089429896018,6.06717079169644 45.0889328897993,6.06832679656841 45.0880936951705,6.07597558255729 45.0905481736948))",TRANCABL0000002206946360,"Télécabine, téléphérique",Télécabine Paganon-Berger (Alpe Express)
"MULTILINESTRING ((6.23707371103508 44.9987352187405,6.23702837685608 44.9987419448593,6.23634207509382 44.9988439185066,6.23548219638287 44.9989752675416,6.23408864718503 44.9991906137161,6.23276811005887 44.9993948088888,6.23172206042028 44.9995576717454,6.2308398554451 44.9996986442548,6.22981736723334 44.9998517932486,6.22887084876763 45.0000009252082,6.22839810350487 45.0000624068482,6.22828497022481 45.0000828117708))",TRANCABL0000000007469829,Téléski,Téléski de la Lauze
"MULTILINESTRING ((6.07970118614468 45.1589874979393,6.07976304626479 45.1589082957786,6.07989609579666 45.1587343151217,6.08003495698124 45.1585502617609))",TRANCABL0000000330848835,Autre remontée mécanique,
"MULTILINESTRING ((6.07960106527256 45.1575647277244,6.08148395875272 45.158358859068,6.08286506481923 45.1589217304078,6.08427546821047 45.1595072040266,6.08611259118272 45.1602772959773,6.08793233665391 45.1610316204452,6.08803818314414 45.1610800531904,6.08803319573666 45.1610819934528,6.08952165535998 45.1616949796706,6.08997958934962 45.1618913518423))",TRANCABL0000000007469718,"Télécabine, téléphérique",Télécabine Vaujany-la Villette
"MULTILINESTRING ((6.06517534690511 45.089612250791,6.06473593570462 45.0892539971008,6.06433025534074 45.0889308571034,6.06412113437996 45.0887590969927,6.06310326731518 45.087941879044,6.06191824580592 45.0869751634331,6.0611333415693 45.0863461582954,6.0590183527627 45.0846309430475,6.05741433582569 45.0833260734744,6.05620044015005 45.0823393714558,6.05615050958887 45.0823101049046))",TRANCABL0000000007469806,"Télécabine, téléphérique",Télécabine des Villages
"MULTILINESTRING ((6.08443802168283 45.1061228618589,6.08436775085643 45.1062329371429,6.08423084165651 45.1064728109549,6.08348824067839 45.1076350367097,6.08274565845816 45.1087981575673,6.08200421668243 45.1099594392492,6.08128690134237 45.1112588158708,6.08046381139596 45.1125791325212,6.08038309957723 45.1127309435856,6.07989331535326 45.1135419403204,6.07928205715229 45.1145274970739,6.0791133752557 45.1148150981844,6.0789473635283 45.1150819002605))",TRANCABL0000000296503566,"Télécabine, téléphérique",Télécabine du Poutran
"MULTILINESTRING ((6.08490851869314 45.1058638423149,6.08450624650362 45.1056298811284,6.08331645283463 45.1049824848003,6.081366893013 45.103916356949,6.0790676683864 45.1026913563708,6.07605601480157 45.1010264273338,6.0718156823293 45.0987158853308,6.07038429137126 45.0979263420403))",TRANCABL0000000007469801,"Télécabine, téléphérique",Téléphérique des Grandes Rousses
"MULTILINESTRING ((6.17149739677299 44.9967765718458,6.17097899242996 44.9969292204117,6.16788148329026 44.9978050433048,6.16273784077805 44.9992652157465,6.15428083354529 45.0016589672674,6.15197760926164 45.002303656195,6.14998385849775 45.0028737535239,6.14967635921022 45.0029617565568,6.14737378697235 45.0036198453362,6.14613259085526 45.0039766446983,6.14510991694189 45.0042668788904,6.14400860241865 45.0045818532314,6.14012108634764 45.0056765438192,6.138739426741 45.0060669589291,6.13737920627905 45.0064549495992,6.13596458555948 45.0068471598952,6.12896910111063 45.0088156629125,6.12643740693392 45.0095644514779,6.12635232027316 45.0095875674186,6.12605165333387 45.0096626961065,6.12597184038549 45.0096892678998))",TRANCABL0000000007469874,"Télécabine, téléphérique",Téléphérique du Jandri Express 1
"MULTILINESTRING ((6.11192721785171 45.1110509068048,6.1120951306913 45.1111183064394,6.1197655795615 45.1143001267192,6.11988427255884 45.1143517718633))",TRANCABL0000000294361611,"Télécabine, téléphérique",Téléphérique des Marmottes 3
"MULTILINESTRING ((6.2246030710854 44.9973285358209,6.22187345115639 44.9972571489959,6.22072900423979 44.9972326218003,6.21919931667051 44.9971786828171,6.21738533055479 44.9971500682361,6.21584933255936 44.9971187939296,6.21459709396621 44.9970747922794,6.21309665320425 44.9970433535578,6.21137011007779 44.9970112139778,6.2098296450584 44.9969682712316,6.20846893973599 44.9969372432612,6.20710233979003 44.9968919507901,6.20575558505027 44.9968604874938,6.20507574957202 44.9968539470044))",TRANCABL0000000296096451,Téléski,Téléski de Puy Salié 1
