WKT,ID,HAUTEUR
"MULTIPOINT ((5.69022365968327 45.0728579735361))",PYLONE__0000000024801520,28.6
"MULTIPOINT ((6.00642765337065 45.2786227356369))",PYLONE__0000000024801624,0
"MULTIPOINT ((6.07495278201712 45.0397135092102))",PYLONE__0000000024801633,0
"MULTIPOINT ((5.67041490673943 45.1420437994894))",PYLONE__0000000024801634,0
"MULTIPOINT ((6.02854414098551 45.218350968474))",PYLONE__0000000024801672,18.3
"MULTIPOINT ((5.75891525530987 45.0807188041788))",PYLONE__0000000024801553,0
"MULTIPOINT ((5.7819545882567 45.0676703912168))",PYLONE__0000000024801673,26
"MULTIPOINT ((5.76309899315299 45.0445594464962))",PYLONE__0000000024801684,28.6
"MULTIPOINT ((6.00146347655931 45.2796067544548))",PYLONE__0000000024801766,0
"MULTIPOINT ((5.72922433114525 45.096913742768))",PYLONE__0000000024801769,0
"MULTIPOINT ((5.70641569145469 44.977117964106))",PYLONE__0000000024801802,28.6
"MULTIPOINT ((5.78585751670867 45.204386449141))",PYLONE__0000000024801808,28.7
"MULTIPOINT ((6.02630756924465 45.2784575719698))",PYLONE__0000000024801982,0
"MULTIPOINT ((5.76286148930038 45.0463897383251))",PYLONE__0000000024802036,0
"MULTIPOINT ((5.64443940260599 45.2007990092024))",PYLONE__0000000024802103,53.5
"MULTIPOINT ((6.02731168711757 45.2784276809567))",PYLONE__0000000024802174,0
"MULTIPOINT ((5.79777776260433 44.9451541401843))",PYLONE__0000000024802185,0
"MULTIPOINT ((5.77780342683586 45.0571202960547))",PYLONE__0000000024802190,0
"MULTIPOINT ((5.5750457451232 45.2702249848082))",PYLONE__0000000024802225,39.3
"MULTIPOINT ((5.63640618168127 45.0115609334444))",PYLONE__0000000024802230,32.7
"MULTIPOINT ((5.77122419678596 44.9246389466352))",PYLONE__0000000024802386,0
"MULTIPOINT ((5.80219363572692 44.992326600006))",PYLONE__0000000024802409,0
"MULTIPOINT ((5.85015163831439 44.8371809158384))",PYLONE__0000000024802460,0
"MULTIPOINT ((5.86546205060288 44.8242681795803))",PYLONE__0000000024802498,33.2
"MULTIPOINT ((5.90742568771128 45.2500156836648))",PYLONE__0000000024802501,29
"MULTIPOINT ((6.03302148239418 45.0641569817842))",PYLONE__0000000024802583,22.2
"MULTIPOINT ((6.08035806200574 45.3979398717354))",PYLONE__0000000024802601,0
"MULTIPOINT ((6.06051219088224 45.3776623324733))",PYLONE__0000000024802608,0
"MULTIPOINT ((5.8035890424465 45.0857192520922))",PYLONE__0000000024802587,62.4
"MULTIPOINT ((5.92356584971425 45.2667018418336))",PYLONE__0000000024802654,22.8
"MULTIPOINT ((5.92361488360661 45.2665906311657))",PYLONE__0000000024802673,0
"MULTIPOINT ((5.82571960269594 45.0825734828441))",PYLONE__0000000024802591,0
"MULTIPOINT ((5.76008233900054 45.0584267241146))",PYLONE__0000000024802743,41.5
"MULTIPOINT ((5.64734459350243 45.0821996568331))",PYLONE__0000000024802750,25.4
"MULTIPOINT ((5.79682325004103 44.9347193365078))",PYLONE__0000000024802777,0
"MULTIPOINT ((5.63173536616182 45.2353522968384))",PYLONE__0000000024802833,34
"MULTIPOINT ((5.45475213287438 45.079943919183))",PYLONE__0000000211718042,26
"MULTIPOINT ((5.3902404233925 45.0624692992793))",PYLONE__0000000269643947,21
"MULTIPOINT ((5.32469823962801 45.0976377138419))",PYLONE__0000000269643948,23.8
"MULTIPOINT ((5.32257741678121 45.1125611654992))",PYLONE__0000000269643949,40.7
"MULTIPOINT ((5.26164816592869 45.1095045699384))",PYLONE__0000000269643950,26.8
"MULTIPOINT ((5.79167854621811 45.0464871772331))",PYLONE__0000000269643515,0
"MULTIPOINT ((5.79158130348707 45.0464995258545))",PYLONE__0000000269643516,0
"MULTIPOINT ((5.78057070050664 45.0787569116697))",PYLONE__0000000269643532,0
"MULTIPOINT ((5.78049089410146 45.0787886349929))",PYLONE__0000000269643533,0
"MULTIPOINT ((5.80013807190344 45.0637397464578))",PYLONE__0000000269643534,0
"MULTIPOINT ((5.8447910018417 45.0697077973038))",PYLONE__0000000269643536,0
"MULTIPOINT ((6.0718625654724 45.042665121626))",PYLONE__0000000269643557,0
"MULTIPOINT ((5.90027090936131 45.0873259238441))",PYLONE__0000000269643587,0
"MULTIPOINT ((5.93608533237449 45.1068311201034))",PYLONE__0000000269643590,0
"MULTIPOINT ((6.09613021942449 45.0342498682993))",PYLONE__0000000269643609,0
"MULTIPOINT ((6.09858594348007 45.0347645276777))",PYLONE__0000000269643610,0
"MULTIPOINT ((6.11011650280734 45.0346582936035))",PYLONE__0000000269643611,0
"MULTIPOINT ((5.95584366382256 44.9118371668933))",PYLONE__0000000269643627,0
"MULTIPOINT ((5.95638182384777 44.9122084646078))",PYLONE__0000000269643628,0
"MULTIPOINT ((6.06944750546316 45.0030201791991))",PYLONE__0000000269643638,0
"MULTIPOINT ((6.0694587208738 45.0028540754359))",PYLONE__0000000269643639,0
"MULTIPOINT ((6.06510848943855 44.9813190545035))",PYLONE__0000000269643641,0
"MULTIPOINT ((6.06731623644419 45.003018593758))",PYLONE__0000000269643643,0
"MULTIPOINT ((6.06519388092503 45.005847835173))",PYLONE__0000000269643644,0
"MULTIPOINT ((6.06606232594926 45.0094137100391))",PYLONE__0000000269643645,0
"MULTIPOINT ((6.0651147014121 45.0120114348832))",PYLONE__0000000269643646,0
"MULTIPOINT ((6.06441743238934 45.0198572227839))",PYLONE__0000000269643647,0
"MULTIPOINT ((6.06597497065417 45.0215497590609))",PYLONE__0000000269643648,0
"MULTIPOINT ((5.73711927586274 44.9184754165621))",PYLONE__0000000269643660,0
"MULTIPOINT ((5.73274601693168 44.9245370860644))",PYLONE__0000000269643664,0
"MULTIPOINT ((5.68551577509083 44.9643518493673))",PYLONE__0000000269643673,0
"MULTIPOINT ((5.68533110606944 44.9642319874271))",PYLONE__0000000269643674,0
"MULTIPOINT ((5.68508642523383 44.9640514133826))",PYLONE__0000000269643675,0
"MULTIPOINT ((5.76049426527558 45.0484332184392))",PYLONE__0000000269643692,0
"MULTIPOINT ((5.75492703754567 45.0570164760823))",PYLONE__0000000269643697,0
"MULTIPOINT ((5.78363327194119 44.9137916521755))",PYLONE__0000000269643700,0
"MULTIPOINT ((5.79588643440307 44.925013865597))",PYLONE__0000000269643702,0
"MULTIPOINT ((5.79544695848068 44.9202176211594))",PYLONE__0000000269643703,0
"MULTIPOINT ((5.79572140332497 44.9154214366631))",PYLONE__0000000269643704,0
"MULTIPOINT ((5.79660253255063 44.9116820742092))",PYLONE__0000000269643705,0
"MULTIPOINT ((5.79725548498551 44.9090385609411))",PYLONE__0000000269643706,0
"MULTIPOINT ((5.77454849586731 44.9381309327339))",PYLONE__0000000269643709,0
"MULTIPOINT ((5.79700582188827 44.9369805626656))",PYLONE__0000000269643713,0
"MULTIPOINT ((5.7965820646209 44.9324523797752))",PYLONE__0000000269643714,0
"MULTIPOINT ((5.80156796678391 44.8910070648059))",PYLONE__0000000269643909,0
"MULTIPOINT ((5.80292413509996 44.8799474827742))",PYLONE__0000000269643911,0
"MULTIPOINT ((5.80898407218152 44.8708951129779))",PYLONE__0000000269643912,0
"MULTIPOINT ((5.83576208879736 44.8439146402387))",PYLONE__0000000269643925,0
"MULTIPOINT ((5.83800647360898 44.8419689348532))",PYLONE__0000000269643926,0
"MULTIPOINT ((5.84959605978943 44.8369618516994))",PYLONE__0000000269643927,0
"MULTIPOINT ((5.90871531429188 44.8314154950809))",PYLONE__0000000269643932,0
"MULTIPOINT ((5.94204445801911 44.798571681385))",PYLONE__0000000269643921,27
"MULTIPOINT ((5.93902036385708 44.7996150084407))",PYLONE__0000000269643922,27
"MULTIPOINT ((5.92804405408412 44.8033497634195))",PYLONE__0000000269643923,21
"MULTIPOINT ((6.1956117065825 45.0384046144903))",PYLONE__0000000269643617,18.1
"MULTIPOINT ((6.18069380220947 45.0410522436637))",PYLONE__0000000269643616,32.4
"MULTIPOINT ((5.54923802567103 45.2861372561785))",PYLONE__0000000269643777,39.3
"MULTIPOINT ((5.54777518884404 45.2909598068382))",PYLONE__0000000269643778,0
"MULTIPOINT ((5.35723129905901 45.1480732537374))",PYLONE__0000000269643957,26.8
"MULTIPOINT ((6.00245916872907 45.3776487862472))",PYLONE__0000000269643433,0
"MULTIPOINT ((6.0061846057002 45.3753474464929))",PYLONE__0000000269643434,0
"MULTIPOINT ((6.01208078766876 45.3738995241435))",PYLONE__0000000269643435,0
"MULTIPOINT ((6.07046760590242 45.3869517255827))",PYLONE__0000000269643436,0
"MULTIPOINT ((6.07400186592117 45.3894653683787))",PYLONE__0000000269643437,0
"MULTIPOINT ((6.07987696492455 45.3908016651733))",PYLONE__0000000269643438,0
"MULTIPOINT ((6.07767946720744 45.3922290917846))",PYLONE__0000000269643439,0
"MULTIPOINT ((6.01642466805783 45.3727355083842))",PYLONE__0000000269643444,0
"MULTIPOINT ((6.02445545510363 45.3718304373285))",PYLONE__0000000269643445,0
"MULTIPOINT ((6.02813353439037 45.3706785318682))",PYLONE__0000000269643446,0
