WKT,id,type,nom
"MULTIPOINT ((6.30424 44.91806))",922723,Histoire,"La Vallée de la Pilatte, Laurent Guétal"
"MULTIPOINT ((6.30645 44.91636))",905729,Histoire,La création du Parc national des Ecrins
"MULTIPOINT ((6.30763 44.91447))",905736,Eau,Haut Vénéon
"MULTIPOINT ((6.30993 44.90999))",905776,Faune,Azuré du serpolet
"MULTIPOINT ((6.31162 44.90809))",903620,Point de vue,Conquête de l'Ailefroide
"MULTIPOINT ((6.31223 44.90735))",903616,Flore,Pinède de pins à crochets
"MULTIPOINT ((6.31313 44.90655))",905714,Flore,Pin à Crochet
"MULTIPOINT ((6.29282 44.93252))",903584,Histoire,Hameau de la Bérarde
"MULTIPOINT ((6.29832 44.94352))",905761,Géologie,La face sud de la Meije
"MULTIPOINT ((6.29606 44.94969))",922726,Histoire,"Rochers à la Bérarde, Laurent Guétal"
"MULTIPOINT ((6.29348 44.96052))",905768,Flore,Chou de Richer
"MULTIPOINT ((6.29486 44.96231))",905770,Flore,Epilobe des moraines
"MULTIPOINT ((6.29534 44.96399))",905766,Flore,Adénostyle à feuilles blanches
"MULTIPOINT ((6.29845 44.97548))",904292,Refuge,Refuge du Promontoire
"MULTIPOINT ((6.29888 44.97536))",904300,Refuge,Refuge du Châtelleret
"MULTIPOINT ((6.29911 44.93951))",905755,Histoire,Haut lieux de l'alpinisme
"MULTIPOINT ((6.29613 44.93588))",905753,Histoire,Alpinisme à la Bérarde
"MULTIPOINT ((6.29425 44.93257))",905738,Histoire,Débuts de l'alpinisme
"MULTIPOINT ((6.01798 45.02706))",938938,Faune,Pipistrelle commune
"MULTIPOINT ((6.01289 45.02219))",938942,Flore,Campanule en thyrse
"MULTIPOINT ((6.00875 45.01494))",938955,Faune,Accenteur alpin
"MULTIPOINT ((6.01875 45.01797))",938946,Faune,Vautour fauve
"MULTIPOINT ((6.02656 45.02349))",938953,Flore,Grassette commune
"MULTIPOINT ((6.0275 45.02616))",938948,Faune,Tétra Lyre
"MULTIPOINT ((6.02435 45.02812))",938950,Faune,Lièvre variable
"MULTIPOINT ((6.11966 44.97717))",905782,Histoire,Un peu d'histoire du vallon de la Muzelle
"MULTIPOINT ((6.10037 44.95599))",905791,Pastoralisme,Un vallon de pastoralisme
"MULTIPOINT ((6.09854 44.95567))",903550,Flore,Tourbière de la Muzelle
"MULTIPOINT ((6.09663 44.9567))",903552,Géologie,Faille de Ser Barbier
"MULTIPOINT ((6.09845 44.95551))",905780,Flore,Faune et flore de la tourbière
"MULTIPOINT ((6.09713 44.95289))",904286,Refuge,Le refuge de la Muzelle
"MULTIPOINT ((6.09582 44.95172))",903548,Lac,Lac de la Muzelle
"MULTIPOINT ((6.0808 44.9555))",918351,Faune,Vautours fauves
"MULTIPOINT ((6.07817 44.96234))",918349,Faune,Aigles royaux
"MULTIPOINT ((6.07209 44.96339))",918345,Flore,Réserve intégrale du Lauvitel
"MULTIPOINT ((6.07743 44.98869))",919160,Architecture,Le hameau de la Danchère
"MULTIPOINT ((6.03245 44.87385))",938308,Flore,Le gui
"MULTIPOINT ((6.03302 44.87509))",938306,Petit patrimoine,La cascade et la digue des Roberts
"MULTIPOINT ((6.03481 44.87493))",938310,Flore,La callune vulgaire
"MULTIPOINT ((6.03579 44.87497))",938312,Flore,Le genévrier commun
"MULTIPOINT ((6.03661 44.87493))",938314,Point de vue,Le point de vue sur le hameau de La Chalp et sur la vallée
"MULTIPOINT ((6.03747 44.87496))",938316,Flore,Les orchidées
"MULTIPOINT ((6.04271 44.87623))",938320,Flore,La buxbaumie verte
"MULTIPOINT ((6.04743 44.87724))",938322,Faune,Trous de pic noir
"MULTIPOINT ((6.04883 44.87776))",938324,Flore,Le rhapontique scarieux
"MULTIPOINT ((6.05174 44.88247))",938330,Point de vue,Le point de vue sur la vallée
"MULTIPOINT ((6.05249 44.88081))",938326,Faune,Le chamois
"MULTIPOINT ((6.05336 44.88165))",938328,Géologie,Les éboulis et le massif granitique du Pic de Valsenestre
"MULTIPOINT ((6.05441 44.90861))",904010,Flore,Jardin alpin
"MULTIPOINT ((6.05466 44.90918))",921552,Histoire,Point de vue sur le hameau de Valsenestre
"MULTIPOINT ((6.05429 44.90901))",904008,Architecture,Village restauré
"MULTIPOINT ((6.05562 44.91098))",937554,Pastoralisme,Des mesures agri-environnementales territorialisées et climatiques
"MULTIPOINT ((6.05488 44.91616))",937566,Faune,Le chamois
"MULTIPOINT ((6.05493 44.92066))",937556,Eau,Le Clos
"MULTIPOINT ((6.05632 44.92428))",937568,Faune,Le bouquetin des Alpes
"MULTIPOINT ((6.05976 44.92429))",937558,Flore,La pulsatille printanière
"MULTIPOINT ((6.05974 44.92519))",937564,Flore,La grande fétuque ou fétuque paniculée
"MULTIPOINT ((6.05952 44.92609))",937562,Petit patrimoine,Murets et reposoirs
"MULTIPOINT ((6.05879 44.92624))",937560,Pastoralisme,La cabane du Vallon
"MULTIPOINT ((6.16361 44.87298))",938350,Flore,Rhapondique scarieux
"MULTIPOINT ((6.16389 44.87553))",938352,Faune,Traquet motteux
"MULTIPOINT ((6.16681 44.87523))",938354,Faune,Le merle à plastron
"MULTIPOINT ((6.17202 44.87707))",938358,Faune,Le vautour fauve
"MULTIPOINT ((6.17035 44.87336))",938356,Faune,Grand nacré
"MULTIPOINT ((6.17501 44.87141))",938360,Sommet,Vue sur l'Olan
"MULTIPOINT ((6.17818 44.8695))",938362,Faune,L'accenteur alpin
