WKT,geo_point_
"MULTILINESTRING ((5.69231120957808 45.0686701069468,5.69570985404084 45.0674865242838))","(2:45.0680783156,5.69401053181)"
"MULTILINESTRING ((5.69231120957808 45.0686701069468,5.69379855282211 45.0706217349099,5.69471512775655 45.0712749640936))","(2:45.0700554753,5.6934328425)"
"MULTILINESTRING ((5.65589223563811 45.0207978606854,5.65642605947088 45.0208108696267,5.6565873437121 45.0207915855808))","(2:45.0208036333,5.6562402116)"
"MULTILINESTRING ((5.56814984896004 45.0738883020698,5.56809809433972 45.0731231966599))","(2:45.0735057494,5.56812397165)"
"MULTILINESTRING ((5.55671653117513 45.094288851262,5.55740321656626 45.0948487364191))","(2:45.0945687938,5.55705987387)"
"MULTILINESTRING ((5.56749100887397 45.0671635195754,5.56809809433972 45.0731231966599))","(2:45.0701433581,5.56779455161)"
"MULTILINESTRING ((5.54829075321072 45.0433167406422,5.54803423832543 45.0449560313907,5.54781160125088 45.0462979295475))","(2:45.0448078819,5.54805456951)"
"MULTILINESTRING ((5.56163638561804 45.0499286194637,5.56080601824597 45.0502276873237,5.55969708842708 45.0503698408214,5.5590977285315 45.0501334317883))","(2:45.0502136672,5.56036704787)"
"MULTILINESTRING ((5.55831815399527 45.0939886739498,5.55755323932485 45.094705817489))","(2:45.0943472457,5.55793569666)"
"MULTILINESTRING ((5.57468960211999 45.0862014209807,5.57522721043848 45.086078271792))","(2:45.0861398464,5.57495840628)"
"MULTILINESTRING ((5.55778386545863 45.0449232348889,5.55827965418418 45.0448000153778))","(2:45.0448616251,5.55803175982)"
"MULTILINESTRING ((5.52557863545016 45.0933268944231,5.52431025634212 45.0901914874394))","(2:45.0917591909,5.5249444459)"
"MULTILINESTRING ((5.57109999334991 45.0739036330331,5.57161481220016 45.0738487385419))","(2:45.0738761858,5.57135740278)"
"MULTILINESTRING ((5.56040398944353 45.0800219963447,5.55995403409301 45.0797704778194,5.55956350682118 45.0795875507325,5.55909192810762 45.0794744717351))","(2:45.0797070938,5.55976407121)"
"MULTILINESTRING ((5.5752622222538 45.0860684444353,5.57613786089 45.0857857090355,5.57679191986215 45.0856123170761))","(2:45.0858304339,5.57602414898)"
"MULTILINESTRING ((6.03496680280678 45.0979812926372,6.03486379993216 45.097756508831))","(2:45.0978689007,6.03491530137)"
"MULTILINESTRING ((5.76559636846943 45.0700577139576,5.76570700045128 45.0713125440446))","(2:45.070685129,5.76565168446)"
"MULTILINESTRING ((5.65096128394847 45.3032040559336,5.6508980420627 45.3036731950028))","(2:45.3034386255,5.65092966301)"
"MULTILINESTRING ((5.63854314063725 45.3018548492786,5.6384056023425 45.3000908322277,5.6381446127536 45.2987804695924,5.63760847347972 45.2984221079837,5.63625576219631 45.2977489223647,5.63398894730516 45.296612555413,5.63268789441187 45.2958727110411,5.63151785864653 45.2953863381791))","(2:45.2979984775,5.63589482979)"
"MULTILINESTRING ((5.63016172910145 45.2729729838689,5.63176829821868 45.2730795250328))","(2:45.2730262545,5.63096501366)"
"MULTILINESTRING ((5.6508980420627 45.3036731950028,5.6509239267369 45.30418065749,5.65011145767447 45.3048509597914,5.64924880614628 45.3054130996038))","(2:45.3046452019,5.65026198565)"
"MULTILINESTRING ((5.87711252597895 45.1174856659694,5.87787642750745 45.1174702474858))","(2:45.1174779567,5.87749447674)"
"MULTILINESTRING ((6.07811784659696 45.0294114305675,6.07974684407929 45.0290950117223,6.08583769094307 45.0295683652124,6.097711702703 45.0279501050756,6.1037787823963 45.0278669305472))","(2:45.0287265136,6.09093207364)"
"MULTILINESTRING ((5.97723621433306 45.2678968545547,5.97778207721247 45.2670941000443,5.97750297016862 45.265346663334))","(2:45.2666720817,5.97759527484)"
