WKT,geo_point_
"MULTILINESTRING ((5.38395907390779 45.1000089044087,5.3846096615171 45.0999783365472))","(2:45.0999936205,5.38428436771)"
"MULTILINESTRING ((5.70724325426544 45.2773684921138,5.70670705213775 45.2767975935617))","(2:45.2770830428,5.7069751532)"
"MULTILINESTRING ((5.69374415736118 45.2491805468858,5.69305763297707 45.2491453524775))","(2:45.2491629497,5.69340089517)"
"MULTILINESTRING ((5.76629400921411 44.8940394264552,5.7678215789407 44.894284931621))","(2:44.894162179,5.76705779408)"
"MULTILINESTRING ((5.71925592051951 45.2537952894834,5.71833303584894 45.253769732579,5.71585150742781 45.2534588761405,5.71348988653125 45.2538917977958))","(2:45.2536661199,5.71636394613)"
"MULTILINESTRING ((5.73422808452455 45.2612114542734,5.73422883464376 45.261180817104))","(2:45.2611961357,5.73422845958)"
"MULTILINESTRING ((5.73422808452455 45.2612114542734,5.73421138927718 45.2614005930429))","(2:45.2613060237,5.7342197369)"
"MULTILINESTRING ((5.72281513349686 45.2470543937373,5.72276166319991 45.2468655580286,5.72296945216119 45.2443603422116))","(2:45.2457104998,5.72285996991)"
"MULTILINESTRING ((5.72208663069877 45.2500703636209,5.72236533822952 45.2489304959773))","(2:45.2495004298,5.72222598446)"
"MULTILINESTRING ((5.7449193464226 45.2590446565894,5.7482344032685 45.2627982823574))","(2:45.2609214695,5.74657687485)"
"MULTILINESTRING ((5.87715787156506 44.8397936438916,5.8765782485162 44.8406760624196,5.87402811961488 44.841213425699,5.8600993777162 44.8477506252175))","(2:44.8437626684,5.86873444128)"
"MULTILINESTRING ((5.47990231032747 45.1445583673882,5.48086592957537 45.1436280361869,5.48026382378151 45.1411901378699))","(2:45.1429949093,5.48050200014)"
"MULTILINESTRING ((5.47471469084274 45.0860748150407,5.47241124459809 45.0871381763392))","(2:45.0866064957,5.47356296772)"
"MULTILINESTRING ((5.46945549469671 45.08852503438,5.46958398249819 45.0887109675679))","(2:45.088618001,5.4695197386)"
"MULTILINESTRING ((5.47110045451911 45.1026692898157,5.47012549608425 45.1026166146777))","(2:45.1026429522,5.4706129753)"
"MULTILINESTRING ((5.46441917206823 45.1023843303384,5.47012549608425 45.1026166146777))","(2:45.1025004725,5.46727233408)"
"MULTILINESTRING ((5.45986215572917 45.103733489103,5.45977531618083 45.1036529861966))","(2:45.1036932376,5.45981873595)"
"MULTILINESTRING ((5.47721980043396 45.128773751169,5.47818547508979 45.1327822861003))","(2:45.1307780186,5.47770263776)"
"MULTILINESTRING ((5.47818547508979 45.1327822861003,5.47935264059463 45.137419041307))","(2:45.1351006637,5.47876905784)"
"MULTILINESTRING ((5.86946402418266 45.1972518640676,5.86740376110902 45.1988553211034,5.86768795921308 45.1994455785844))","(2:45.1982736189,5.86825575594)"
"MULTILINESTRING ((5.88096138906492 45.184462880965,5.880460105222 45.1843861350448,5.88004337748438 45.1862412506203))","(2:45.1851264671,5.88034838906)"
"MULTILINESTRING ((5.87108635558979 45.1833015991012,5.87070435358723 45.18349040572,5.86861183335233 45.1841977349501))","(2:45.1837716104,5.86985817876)"
"MULTILINESTRING ((5.86783614710646 45.1845567005553,5.86784286980673 45.1845564958667,5.86817478849914 45.1843423138054))","(2:45.1844511994,5.8680059945)"
"MULTILINESTRING ((5.85449926126136 45.1928306871708,5.85527466782766 45.1962335013319))","(2:45.1945320943,5.85488696454)"
"MULTILINESTRING ((5.88729403789824 45.1649148379448,5.8876575066043 45.1663278735681,5.88748187261637 45.167514265427,5.8865428694252 45.1702200114667))","(2:45.1675869594,5.88725583777)"
"MULTILINESTRING ((5.87555226036025 45.1826911033657,5.87715664671937 45.180058391326))","(2:45.1813747473,5.87635445354)"
"MULTILINESTRING ((5.8797846452474 45.1863842137299,5.87940828945581 45.1866743093995))","(2:45.1865292616,5.87959646735)"
"MULTILINESTRING ((5.87463015164199 45.1863754898274,5.87458330135485 45.1868407137393,5.87461215383244 45.1868384892107))","(2:45.1866215941,5.87460620202)"
"MULTILINESTRING ((5.49697546749011 45.2253690698472,5.49768976442119 45.2252031127772))","(2:45.2252860913,5.49733261596)"
"MULTILINESTRING ((5.62486337282346 44.8881604526825,5.62228727812667 44.8891221714903))","(2:44.8886413121,5.62357532548)"
"MULTILINESTRING ((5.6207006948321 44.8897446286682,5.62228727812667 44.8891221714903))","(2:44.8894334001,5.62149398648)"
"MULTILINESTRING ((5.65381909477706 44.876339420111,5.64051051965733 44.8820790221805))","(2:44.8792092211,5.64716480722)"
"MULTILINESTRING ((5.44763403691472 45.1967558583305,5.44852036997135 45.1957932225913,5.44986996779095 45.193884338075))","(2:45.1953540223,5.44879397183)"
"MULTILINESTRING ((5.47001601426895 45.2019020575394,5.47172518476502 45.2027016645752))","(2:45.2023018611,5.47087059952)"
"MULTILINESTRING ((5.44986996779095 45.193884338075,5.4501999742959 45.1939608588079))","(2:45.1939225984,5.45003497104)"
"MULTILINESTRING ((5.54661968140912 44.9537569413268,5.54659773034567 44.9534302912973))","(2:44.9535936163,5.54660870588)"
"MULTILINESTRING ((5.54679660480149 44.9390270849896,5.54608663928551 44.9411213528763))","(2:44.9400742189,5.54644162204)"
"MULTILINESTRING ((5.33414510087786 45.0714838283081,5.33357171952411 45.0783775758685))","(2:45.0749307021,5.3338584102)"
"MULTILINESTRING ((5.33357171952411 45.0783775758685,5.33349448788934 45.0795950855594))","(2:45.0789863307,5.33353310371)"
"MULTILINESTRING ((5.32540188014715 45.0822330932052,5.32464094481159 45.0811647069116,5.32333246758307 45.0803934651147))","(2:45.0812053287,5.32446619)"
"MULTILINESTRING ((5.32540188014715 45.0822330932052,5.3319342470185 45.0791791132644))","(2:45.0807061032,5.32866806358)"
"MULTILINESTRING ((5.7367710437071 44.8716844042673,5.73775607955331 44.8728360039464))","(2:44.8722602041,5.73726356163)"
"MULTILINESTRING ((5.80086211816022 45.0510749838618,5.80205114042705 45.0497462480439,5.80626776716633 45.0492753827263,5.80798098671862 45.0493502568331,5.80872583090238 45.049463072404))","(2:45.0496504897,5.8045626256)"
"MULTILINESTRING ((5.80872583090238 45.049463072404,5.80914632461409 45.0494177455358))","(2:45.049440409,5.80893607776)"
"MULTILINESTRING ((5.75467020560144 44.7976862942449,5.75271795854 44.8005984999082))","(2:44.7991423971,5.75369408207)"
"MULTILINESTRING ((5.75686790623806 44.7973060281333,5.75924370542256 44.7971511854573,5.76025521370946 44.7971495246043))","(2:44.7972052742,5.75856080897)"
"MULTILINESTRING ((5.77230177185893 44.7966933575215,5.77453883276694 44.7950718418606,5.77962869697286 44.7928579921108))","(2:44.7946022506,5.77586622885)"
"MULTILINESTRING ((5.75982153050835 44.789509588121,5.75952028823748 44.789411198881))","(2:44.7894603935,5.75967090937)"
"MULTILINESTRING ((5.77457791419473 44.7808296453336,5.77934025319287 44.7810225968592))","(2:44.7809261211,5.77695908369)"
"MULTILINESTRING ((5.79368047027215 44.7927486549348,5.78812527348387 44.787973816901))","(2:44.7903612359,5.79090287188)"
"MULTILINESTRING ((5.73605024529286 44.7864441467066,5.73314619838572 44.7824467801089))","(2:44.7844454634,5.73459822184)"
"MULTILINESTRING ((5.74564447020099 44.7836022296537,5.7476689868549 44.7775989454651))","(2:44.7806005876,5.74665672853)"
"MULTILINESTRING ((5.76145747221963 44.7912737567401,5.76406980204075 44.7895535649903))","(2:44.7904136609,5.76276363713)"
"MULTILINESTRING ((5.75328682994924 44.8005315804605,5.75349687092657 44.8005319821747))","(2:44.8005317813,5.75339185044)"
"MULTILINESTRING ((6.17725783339605 44.9560281754278,6.17685299407615 44.9558524198648))","(2:44.9559402976,6.17705541374)"
"MULTILINESTRING ((5.81899114971966 45.417450937649,5.81801631235653 45.4169931434398))","(2:45.4172220405,5.81850373104)"
"MULTILINESTRING ((5.77729000859643 45.4367853611216,5.77708636911839 45.4362637159325))","(2:45.4365245385,5.77718818886)"
"MULTILINESTRING ((5.70861581705496 45.0299432059456,5.70824683383796 45.0297386896322))","(2:45.0298409478,5.70843132545)"
"MULTILINESTRING ((5.71084163045947 45.0313193004403,5.71354190200324 45.0329914642717,5.714853810926 45.0330028969728))","(2:45.0324014587,5.712778191)"
"MULTILINESTRING ((5.7048269629977 45.0293102518669,5.70459871481809 45.0289900744063))","(2:45.0291501631,5.70471283891)"
"MULTILINESTRING ((5.70540904829725 45.0483156921301,5.70525230442483 45.0482920871683))","(2:45.0483038896,5.70533067636)"
"MULTILINESTRING ((5.70175226962821 45.0402157480286,5.70159675138462 45.0403627412708))","(2:45.0402892446,5.70167451051)"
"MULTILINESTRING ((5.70017977629721 45.0299036856641,5.70052779938236 45.0299926591319))","(2:45.0299481724,5.70035378784)"
"MULTILINESTRING ((5.7043623133188 45.0286383088101,5.70459871481809 45.0289900744063))","(2:45.0288141916,5.70448051407)"
"MULTILINESTRING ((5.714853810926 45.0330028969728,5.71497731133549 45.0331240347308))","(2:45.0330634659,5.71491556113)"
"MULTILINESTRING ((5.47465101007569 45.2040478539279,5.47284799324017 45.2032293760493))","(2:45.203638615,5.47374950166)"
"MULTILINESTRING ((5.4762700983371 45.2034653178746,5.47434624453128 45.2025991696568))","(2:45.2030322438,5.47530817143)"
"MULTILINESTRING ((5.48051996853489 45.2022200677645,5.48057597702065 45.2011958335008))","(2:45.2017079506,5.48054797278)"
"MULTILINESTRING ((5.48433166085761 45.197327870208,5.48100271802732 45.1989117170964,5.4809478254112 45.1992055265858))","(2:45.1981902028,5.482540301)"
"MULTILINESTRING ((5.57009107883419 44.9554805445691,5.56990777915844 44.9552210150877))","(2:44.9553507798,5.569999429)"
"MULTILINESTRING ((5.56955557496762 44.9552213509113,5.5691827386825 44.9550940493858))","(2:44.9551577001,5.56936915683)"
"MULTILINESTRING ((5.25841356416218 45.111408480137,5.25988712446802 45.1126837571744,5.26087854674052 45.1126357545933,5.2620435489133 45.1130532804232))","(2:45.1124283119,5.26012738888)"
"MULTILINESTRING ((5.24367618592793 45.0756936593342,5.24404017712987 45.0758070035801))","(2:45.0757503315,5.24385818153)"
"MULTILINESTRING ((5.25142775924862 45.0697465840625,5.25261415560579 45.0664879366827))","(2:45.0681172604,5.25202095743)"
"MULTILINESTRING ((5.23997101224018 45.0700241390344,5.2402177781408 45.0702914521248))","(2:45.0701577956,5.24009439519)"
"MULTILINESTRING ((5.2402177781408 45.0702914521248,5.23809860986361 45.0706263829928,5.23809895448615 45.0706278771897))","(2:45.0704590377,5.23915743735)"
"MULTILINESTRING ((5.25001515663387 45.1036939778407,5.24955972828444 45.104318608283))","(2:45.1040062931,5.24978744246)"
"MULTILINESTRING ((5.25071889686335 45.0958777271108,5.25174601355063 45.0964025302035))","(2:45.0961401287,5.25123245521)"
"MULTILINESTRING ((5.26398208146686 45.0806081604984,5.2686177068097 45.0859178811226))","(2:45.0832630208,5.26629989414)"
"MULTILINESTRING ((5.2499675880025 45.0758996192049,5.24865332483413 45.0737305005064))","(2:45.0748150599,5.24931045642)"
"MULTILINESTRING ((5.2481115436691 45.0728554299835,5.24782902841566 45.072999360975))","(2:45.0729273955,5.24797028604)"
"MULTILINESTRING ((5.24774626866002 45.0722737040945,5.24748480238139 45.0719068595217))","(2:45.0720902818,5.24761553552)"
"MULTILINESTRING ((5.87569681141254 45.3004296984872,5.87425099807047 45.2992071508386))","(2:45.2998184247,5.87497390474)"
"MULTILINESTRING ((5.87427237280795 45.3001886640074,5.87364300618743 45.3004753830622,5.87326921564417 45.3010889821821))","(2:45.3005613948,5.87370211824)"
"MULTILINESTRING ((5.88080574227664 45.303655800363,5.8846138025837 45.3064369844362))","(2:45.3050463924,5.88270977243)"
"MULTILINESTRING ((5.79750296945319 44.9421898287411,5.79733802180643 44.9418864323624,5.79716381469224 44.9415816958644))","(2:44.9418848572,5.79733501532)"
"MULTILINESTRING ((5.79750296945319 44.9421898287411,5.79819740373469 44.9425444358741))","(2:44.9423671323,5.79785018659)"
"MULTILINESTRING ((5.81276691164182 44.946051933476,5.81400459195076 44.9430258389246))","(2:44.9445388862,5.8133857518)"
"MULTILINESTRING ((5.83906157182029 45.2567803963212,5.83893680403313 45.2569245372604))","(2:45.2568524668,5.83899918793)"
"MULTILINESTRING ((5.34511930665539 45.1249509596029,5.3456424124364 45.1248504417247))","(2:45.1249007007,5.34538085955)"
"MULTILINESTRING ((5.36110600779032 45.1326954150104,5.36027872618947 45.1328137876924))","(2:45.1327546014,5.36069236699)"
"MULTILINESTRING ((5.3642792286594 45.1229350540262,5.36381935789509 45.122472283824,5.36298579652793 45.121977762408,5.362699342381 45.1218170560179,5.36259240355849 45.1216598804071))","(2:45.1222774344,5.3634465606)"
"MULTILINESTRING ((5.82310631485003 44.8741360137532,5.82296313622612 44.8739435119023))","(2:44.8740397628,5.82303472554)"
"MULTILINESTRING ((5.83626717804538 44.8645193726359,5.8378025809876 44.8647261762137))","(2:44.8646227744,5.83703487952)"
"MULTILINESTRING ((5.76933921009497 45.0539952373288,5.76845983148254 45.0539491806089))","(2:45.053972209,5.76889952079)"
"MULTILINESTRING ((5.76057318823 45.0535516339478,5.76181200052422 45.0536049585406))","(2:45.0535782962,5.76119259438)"
"MULTILINESTRING ((5.75735930988793 45.0534769169551,5.75876197354121 45.0535583514934))","(2:45.0535176342,5.75806064171)"
"MULTILINESTRING ((5.54736642674025 45.2761148198144,5.54975098897525 45.2763690654946))","(2:45.2762419427,5.54855870786)"
"MULTILINESTRING ((5.54809132341618 45.2860653475993,5.54562757745448 45.2851803586431))","(2:45.2856228531,5.54685945044)"
"MULTILINESTRING ((5.54809132341618 45.2860653475993,5.54747317937782 45.2859251110097,5.54679406824374 45.2860218322399))","(2:45.2859839209,5.54744513225)"
"MULTILINESTRING ((5.54452677487806 45.284832486478,5.54562757745448 45.2851803586431))","(2:45.2850064226,5.54507717617)"
"MULTILINESTRING ((5.54791290193007 45.2814206247785,5.54782290312359 45.2814703810629))","(2:45.2814455029,5.54786790253)"
"MULTILINESTRING ((5.53235969422019 45.2759170467617,5.53084433518845 45.2688707212612))","(2:45.272393884,5.5316020147)"
"MULTILINESTRING ((5.54566929210865 45.2836035410811,5.54508690242595 45.2834015431299,5.5453664601044 45.2829444436237))","(2:45.2833492961,5.54530768615)"
"MULTILINESTRING ((5.58607767713499 45.2931660182033,5.58481679796874 45.2929728511658,5.58399234883667 45.293084096579,5.58119052418999 45.2928463204404,5.58040645882654 45.2927338945043))","(2:45.2929734177,5.58324469024)"
"MULTILINESTRING ((5.53282541933323 45.2780553156006,5.53175984521934 45.2779953612471,5.53069923591839 45.2784205907371))","(2:45.2781197736,5.53174294643)"
"MULTILINESTRING ((5.53069923591839 45.2784205907371,5.52817010539876 45.2796800110246))","(2:45.2790503009,5.52943467066)"
"MULTILINESTRING ((5.54679406824374 45.2860218322399,5.54508648150754 45.2863497507126,5.54466363092961 45.2865759122864,5.54475963577979 45.288699519973))","(2:45.28692687,5.5452214547)"
"MULTILINESTRING ((5.32361974285994 45.1120548629854,5.32503457361958 45.1119113128589,5.32621252028291 45.1120700969018,5.32709401740739 45.1124014111819))","(2:45.1120526156,5.32537754584)"
"MULTILINESTRING ((5.29945829279516 45.0954226865639,5.29909031335012 45.0955414158351))","(2:45.0954820512,5.29927430307)"
"MULTILINESTRING ((5.27772135378777 45.1045623350065,5.27775933260694 45.1045779541979))","(2:45.1045701446,5.2777403432)"
"MULTILINESTRING ((5.2971279858751 45.1044681753999,5.30104324547617 45.1028347391054))","(2:45.1036514573,5.29908561568)"
"MULTILINESTRING ((5.31244133765257 45.0969092314911,5.31463004584895 45.095688684625))","(2:45.0962989581,5.31353569175)"
"MULTILINESTRING ((5.31764617237766 45.1087359462096,5.31715200638294 45.1089499603951))","(2:45.1088429533,5.31739908938)"
"MULTILINESTRING ((5.33784033668921 45.1408407183015,5.33829156290289 45.1410453398288))","(2:45.1409430291,5.3380659498)"
"MULTILINESTRING ((5.35682780030207 45.1514482167692,5.35664445820727 45.1512570129672))","(2:45.1513526149,5.35673612925)"
"MULTILINESTRING ((5.34653104209522 45.1411673102165,5.34721524684922 45.1407106151629,5.34817519523064 45.1399378487823,5.34863800117707 45.1394312477264,5.34920888066828 45.1388989819809))","(2:45.1400862882,5.34791401555)"
"MULTILINESTRING ((5.8006264834063 44.8482558267343,5.80212943034137 44.8487115667143))","(2:44.8484836967,5.80137795687)"
"MULTILINESTRING ((5.7916099016294 44.8436594779394,5.80125126920205 44.8429834854747,5.8105601119279 44.841702037975))","(2:44.8428390124,5.80110142874)"
"MULTILINESTRING ((5.8105601119279 44.841702037975,5.81104200627138 44.8431050798676))","(2:44.8424035589,5.8108010591)"
"MULTILINESTRING ((5.79692842399606 44.8520370261674,5.79578661353321 44.8516252191925))","(2:44.8518311227,5.79635751876)"
"MULTILINESTRING ((5.81416851281006 44.8545111799471,5.81753596295351 44.8552122420309,5.82214548106797 44.8572852777228))","(2:44.8556870648,5.81822555767)"
"MULTILINESTRING ((5.81416851281006 44.8545111799471,5.81380584561103 44.8551579077768))","(2:44.8548345439,5.81398717921)"
"MULTILINESTRING ((5.78671799108392 44.8414813615149,5.78693486703862 44.8415433960752))","(2:44.8415123788,5.78682642906)"
"MULTILINESTRING ((5.97110021640413 45.3760371260353,5.96711290898804 45.3717156882451))","(2:45.3738764071,5.9691065627)"
"MULTILINESTRING ((5.96074418071215 45.3716879816533,5.96081553101341 45.3723125778021))","(2:45.3720002797,5.96077985586)"
"MULTILINESTRING ((5.85623199313856 44.855232952193,5.85502698905174 44.8565836236116))","(2:44.8559082879,5.8556294911)"
"MULTILINESTRING ((5.85623199313856 44.855232952193,5.85633397529183 44.8552315123205))","(2:44.8552322323,5.85628298422)"
"MULTILINESTRING ((5.85446267966497 44.85709979994,5.8500864562085 44.8614339952767))","(2:44.8592668976,5.85227456794)"
"MULTILINESTRING ((5.84754419852459 44.8640976875578,5.84528168054896 44.8665470026562))","(2:44.8653223451,5.84641293954)"
"MULTILINESTRING ((5.84528168054896 44.8665470026562,5.84488212225533 44.8663173918644))","(2:44.8664321973,5.8450819014)"
"MULTILINESTRING ((5.84266667328834 44.8656850786364,5.84387722338411 44.8658746839878,5.84488212225533 44.8663173918644))","(2:44.8659293043,5.84379548477)"
"MULTILINESTRING ((5.86264001999157 44.8623311669756,5.86335279485213 44.8626754319111,5.86405274758908 44.8630027432804,5.86619160321078 44.8628783725879,5.86770953382723 44.8631191469157))","(2:44.8628766573,5.86512801585)"
"MULTILINESTRING ((5.84563321438969 44.8666329846728,5.84613880883762 44.8667521472254))","(2:44.8666925659,5.84588601161)"
"MULTILINESTRING ((5.84804511806444 44.8644036117592,5.85030937094969 44.8656262665899))","(2:44.8650149392,5.84917724451)"
"MULTILINESTRING ((5.76819636786281 45.2498077391142,5.76811269317947 45.2499822856359))","(2:45.2498950124,5.76815453052)"
"MULTILINESTRING ((5.76918850229471 45.2677784782238,5.77134682250961 45.2684803103854))","(2:45.2681293943,5.7702676624)"
"MULTILINESTRING ((5.75761840851766 45.2772405802228,5.75723873143547 45.2798901318628))","(2:45.278565356,5.75742856998)"
"MULTILINESTRING ((5.75761840851766 45.2772405802228,5.75722333280056 45.2761625871234,5.75622460731399 45.2750122659508))","(2:45.2760662505,5.75702347244)"
"MULTILINESTRING ((5.65255623890699 45.2298000784726,5.65462430519474 45.2287755389658))","(2:45.2292878087,5.65359027205)"
"MULTILINESTRING ((5.87173715863366 45.1056093546592,5.87281648094559 45.1050825340814))","(2:45.1053459444,5.87227681979)"
"MULTILINESTRING ((5.67116329277579 45.1682173334414,5.67126939804204 45.1683710171597,5.67151560405261 45.1689808121392,5.6718676240305 45.1694340794415,5.67217167780425 45.1696778318611))","(2:45.1689948936,5.67160443024)"
"MULTILINESTRING ((5.67494330490004 45.167996144198,5.67385462383805 45.1673687751737))","(2:45.1676824597,5.67439896437)"
"MULTILINESTRING ((5.84170947715826 44.9042312005529,5.8465544010288 44.9049507262836))","(2:44.9045909634,5.84413193909)"
"MULTILINESTRING ((5.8465544010288 44.9049507262836,5.84782577741495 44.9051682692829,5.84954618348392 44.9054417582192))","(2:44.9052005632,5.84804957916)"
"MULTILINESTRING ((5.65636737411618 44.9422630032949,5.65999676035356 44.9406697225182,5.66151302269538 44.9408482246904))","(2:44.9412696584,5.65889749531)"
"MULTILINESTRING ((5.28529534006537 45.1211283156148,5.28727844824418 45.1212619711184))","(2:45.1211951434,5.28628689415)"
"MULTILINESTRING ((5.27923381362099 45.120052308918,5.27896678330002 45.1201072317568))","(2:45.1200797703,5.27910029846)"
"MULTILINESTRING ((5.28106940988291 45.1151937241582,5.28112170147025 45.1151341953455,5.28131231282476 45.1147955742279))","(2:45.1149986022,5.28119643688)"
"MULTILINESTRING ((5.28038803749121 45.1212116331218,5.28408466486171 45.1210779836248))","(2:45.1211448084,5.28223635118)"
"MULTILINESTRING ((5.27962286561569 45.1160528520514,5.27960048112044 45.1160358565171,5.27966652231314 45.1149768767957,5.27973066241768 45.1144027915124))","(2:45.1152324552,5.2796556919)"
"MULTILINESTRING ((5.28145185199175 45.1145710081094,5.28344588309893 45.1148259929702,5.2842653220826 45.114747348784,5.284637615745 45.1147198250815,5.28515629160462 45.1147811364833,5.28628670979649 45.1149203528612,5.28684543970982 45.1146388901002))","(2:45.1147598404,5.28417584859)"
"MULTILINESTRING ((5.81023718870712 44.9048239612565,5.80976110718123 44.9048312569882))","(2:44.9048276091,5.80999914794)"
"MULTILINESTRING ((5.802593597544 44.9185838610437,5.80289663272928 44.9190750488803))","(2:44.918829455,5.80274511514)"
"MULTILINESTRING ((5.76521777633596 44.9203350208284,5.77037759060787 44.9183783295372,5.77081510771317 44.9171945402875,5.77096801501473 44.9150553104992,5.77633962621422 44.9153275076653))","(2:44.917167317,5.77071056558)"
"MULTILINESTRING ((5.76922158108009 44.9353102159812,5.76922865810771 44.9352991564082,5.76922333491038 44.9350110909121,5.7692230882791 44.9349976026646))","(2:44.9351549003,5.76922584056)"
"MULTILINESTRING ((5.76804678598583 44.9359015586126,5.76584803704313 44.9351651024932,5.76313863248303 44.9354643401043))","(2:44.9354152058,5.76562135938)"
"MULTILINESTRING ((5.95231117989206 45.2991113396722,5.95264537121659 45.2987986758725))","(2:45.2989550078,5.95247827555)"
"MULTILINESTRING ((5.9835147866536 45.3057248822922,5.98047926129087 45.3056266901804))","(2:45.3056757862,5.98199702397)"
"MULTILINESTRING ((5.97241397880052 45.3001997384913,5.97185470191502 45.3003623738971,5.97071379780711 45.3003176820161,5.96928497123203 45.3006382727248,5.9678387117883 45.3008250517409))","(2:45.3004990105,5.97013155979)"
"MULTILINESTRING ((5.98725185590814 45.3041687497215,5.98696231083503 45.3040631369037))","(2:45.3041159433,5.98710708337)"
"MULTILINESTRING ((5.99414342271449 45.28777620073,5.99350735091843 45.2850191950713))","(2:45.2863976979,5.99382538682)"
"MULTILINESTRING ((6.00507601422797 45.3052888776002,6.00630187340893 45.3049840519105))","(2:45.3051364648,6.00568894382)"
"MULTILINESTRING ((5.94904348497048 45.3652734259152,5.94997431074064 45.365248170506))","(2:45.3652607982,5.94950889786)"
"MULTILINESTRING ((5.96319296432703 45.3509281377214,5.96431256901525 45.3485521687302))","(2:45.3497401532,5.96375276667)"
"MULTILINESTRING ((5.95499386279152 45.3635779289392,5.95545926364153 45.3631557627591))","(2:45.3633668458,5.95522656322)"
"MULTILINESTRING ((5.95727737449386 45.3567182264423,5.95916630134281 45.3577985572426))","(2:45.3572583918,5.95822183792)"
"MULTILINESTRING ((5.95452402921541 45.3642819218732,5.95369067607403 45.3645668068227))","(2:45.3644243643,5.95410735264)"
"MULTILINESTRING ((5.96003746024716 45.3547707961561,5.95951639860108 45.3538808370481))","(2:45.3543258166,5.95977692942)"
"MULTILINESTRING ((5.65506913648581 44.9071147213649,5.65493500442904 44.9068742635393,5.6546955323585 44.9066739952467,5.65431822248765 44.906054398337,5.6541920135669 44.9056167249091,5.65400969974757 44.9053067447283))","(2:44.9062402243,5.6544936858)"
"MULTILINESTRING ((5.65253245733124 44.9040612098296,5.647989859656 44.8985756998762))","(2:44.9013184549,5.65026115849)"
"MULTILINESTRING ((5.66953763680603 44.9054671113467,5.6689827805504 44.9067712140516))","(2:44.9061191627,5.66926020868)"
"MULTILINESTRING ((5.73585359937663 44.7553861494539,5.73952083163237 44.7506286488513,5.74350618440841 44.748111604547))","(2:44.7514081436,5.73936958047)"
"MULTILINESTRING ((5.74350618440841 44.748111604547,5.74363801062333 44.7476524383696))","(2:44.7478820215,5.74357209752)"
"MULTILINESTRING ((5.74399453526398 44.7470436748837,5.74400931872406 44.7466918878684,5.74400988762439 44.7466784026024))","(2:44.7468610387,5.74400221039)"
"MULTILINESTRING ((5.75206307214366 44.7353025596978,5.74977231639009 44.7336146712325))","(2:44.7344586155,5.75091769427)"
"MULTILINESTRING ((5.76893353423687 44.740238401664,5.77109285646047 44.7405787943025))","(2:44.740408598,5.77001319535)"
"MULTILINESTRING ((5.77249278388108 44.7407047253244,5.77688109698977 44.7407661115012))","(2:44.7407354184,5.77468694044)"
"MULTILINESTRING ((5.90708640848981 44.8912529111501,5.9064559613065 44.8913866245825))","(2:44.8913197679,5.9067711849)"
"MULTILINESTRING ((5.91508901876651 44.8926493881174,5.9146717791617 44.8929074312836))","(2:44.8927784097,5.91488039896)"
"MULTILINESTRING ((5.9146717791617 44.8929074312836,5.9145215555146 44.8933485571086))","(2:44.8931279942,5.91459666734)"
"MULTILINESTRING ((5.9064559613065 44.8913866245825,5.90460191199373 44.8917680361582))","(2:44.8915773304,5.90552893665)"
"MULTILINESTRING ((6.08947970043545 44.8686328032982,6.08145502314048 44.8652429641815,6.07868639101239 44.8646624624578))","(2:44.8664512579,6.08414447718)"
"MULTILINESTRING ((5.64004613871659 45.0929019205518,5.64262150619707 45.0876507416859,5.6426228996035 45.0876506641311))","(2:45.0902757048,5.6413341298)"
"MULTILINESTRING ((5.68964343513851 45.0894638546913,5.6902665884562 45.0892027217679))","(2:45.0893332882,5.6899550118)"
"MULTILINESTRING ((5.69391534057267 45.1015696570228,5.69496370055631 45.1058618855934))","(2:45.1037157713,5.69443952056)"
"MULTILINESTRING ((5.70548500814504 45.0837284106686,5.70456893430299 45.0838255729438))","(2:45.0837769918,5.70502697122)"
"MULTILINESTRING ((5.6860429827548 45.0827326955144,5.68545459422292 45.0826686166715))","(2:45.0827006561,5.68574878849)"
"MULTILINESTRING ((5.67121216000099 45.1032222184903,5.670681696503 45.1021170490515))","(2:45.1026696338,5.67094692825)"
"MULTILINESTRING ((5.69496370055631 45.1058618855934,5.69457456521906 45.1057290514953))","(2:45.1057954685,5.69476913289)"
"MULTILINESTRING ((5.70855548156693 45.0906635266795,5.70778560732905 45.0875069697504))","(2:45.0890852482,5.70817054445)"
"MULTILINESTRING ((6.10169827298341 45.2051167086351,6.09991342380626 45.2042739456348))","(2:45.2046953271,6.10080584839)"
"MULTILINESTRING ((6.09503880325741 45.2027742285142,6.09962499012297 45.2041481681015,6.09991342380626 45.2042739456348))","(2:45.2035074436,6.09748221043)"
"MULTILINESTRING ((6.05884736075764 45.150440430322,6.06280526889943 45.1518421209572,6.06335797621048 45.1519658180424))","(2:45.1512319283,6.06109437731)"
"MULTILINESTRING ((5.80152553667328 45.1070919751158,5.80559401572912 45.1053993805971))","(2:45.1062456779,5.8035597762)"
"MULTILINESTRING ((5.79945873441109 45.1050908508819,5.80092090907453 45.1095134060053,5.80211700817242 45.1128863011055,5.80372096551322 45.1146973473199,5.80557722661914 45.1183672639834))","(2:45.1118800479,5.8022007473)"
"MULTILINESTRING ((5.8031030121012 45.0981721488464,5.80270580571213 45.0974729753761))","(2:45.0978225621,5.80290440891)"
"MULTILINESTRING ((5.82954205863094 45.1272470538539,5.83304196222333 45.1264338821028))","(2:45.126840468,5.83129201043)"
