WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((5.74227822166583 45.1515172605671))",SURFACTI0000000007459854,Zone d'activité ou d'intérêt,Stade,complexe sportif roger journet
"MULTIPOINT ((5.73072246536515 45.1538022046361))",SURFACTI0000000007459855,Zone d'activité ou d'intérêt,Autre équipement sportif,parc des sports jean villar
"MULTIPOINT ((5.73072246536515 45.1538022046361))",SURFACTI0000000007459855,Zone d'activité ou d'intérêt,Autre équipement sportif,parc des sports jean vilar
"MULTIPOINT ((5.70504717855583 45.1349256293463))",SURFACTI0000000007459865,Zone d'activité ou d'intérêt,Autre équipement sportif,stade grand galet
"MULTIPOINT ((5.75358619006102 45.1498165304515))",SURFACTI0000000007459852,Zone d'activité ou d'intérêt,Piscine,site sportif du château
"MULTIPOINT ((5.72965163913628 45.1442378277021))",SURFACTI0000000007459856,Zone d'activité ou d'intérêt,Stade,stade roger couderc
"MULTIPOINT ((5.71391610986122 45.1418721556112))",SURFACTI0000000007459857,Zone d'activité ou d'intérêt,Stade,stade eugène thénard
"MULTIPOINT ((5.7163879082049 45.1516926076254))",SURFACTI0000000007459858,Zone d'activité ou d'intérêt,Piscine,stade nautique
"MULTIPOINT ((5.70160036740776 45.13950664728))",SURFACTI0000000007459864,Zone d'activité ou d'intérêt,Autre équipement sportif,stade villancourt
"MULTIPOINT ((5.70168361489273 45.1385392795788))",SURFACTI0000000007459866,Zone d'activité ou d'intérêt,Piscine,centre aquatique flottibule
"MULTIPOINT ((5.7004899359683 45.119135095756))",SURFACTI0000000007459870,Zone d'activité ou d'intérêt,Autre équipement sportif,complexe des deux ponts
"MULTIPOINT ((5.80699150587975 45.1151772149159))",SURFACTI0000000007459869,Zone d'activité ou d'intérêt,Autre équipement sportif,stade daniel petiot
"MULTIPOINT ((5.9521928538124 45.3610807212474))",SURFACTI0000000007459909,Zone d'activité ou d'intérêt,Maison de retraite,ehpad saint-jean
"MULTIPOINT ((5.68441916739258 45.1961636545429))",SURFACTI0000000007459942,Zone d'activité ou d'intérêt,Maison de retraite,ehpad l'églantine
"MULTIPOINT ((5.76016623125194 45.1864609600546))",SURFACTI0000000007459940,Zone d'activité ou d'intérêt,Hôpital,belledonne
"MULTIPOINT ((5.74613731440412 45.1993191238086))",SURFACTI0000000007459937,Zone d'activité ou d'intérêt,Hôpital,hôpital nord
"MULTIPOINT ((6.03505100113089 45.0552118846258))",SURFACTI0000000007459953,Zone d'activité ou d'intérêt,Maison de retraite,logement-foyer les charmilles
"MULTIPOINT ((5.68714235359082 45.1270425015921))",SURFACTI0000000007459950,Zone d'activité ou d'intérêt,Etablissement hospitalier,clinique du coteau
"MULTIPOINT ((5.79430296098305 44.9048425464222))",SURFACTI0000000007459956,Zone d'activité ou d'intérêt,Hôpital,centre hospitalier de la mure
"MULTIPOINT ((5.79740906540144 45.3777363743328))",SURFACTI0000000007460154,Zone d'activité ou d'intérêt,Culte chrétien,chapelle saint-bruno
"MULTIPOINT ((5.7972679672418 45.3766812050826))",SURFACTI0000000007460153,Zone d'activité ou d'intérêt,Culte chrétien,notre-dame de casalibus
"MULTIPOINT ((5.92468956571407 45.2730293558659))",SURFACTI0000000007460269,Zone d'activité ou d'intérêt,Culte chrétien,église sainte-barbe
"MULTIPOINT ((5.59937467116235 45.2965526660635))",SURFACTI0000000007460258,Zone d'activité ou d'intérêt,Culte chrétien,chapelle saint-ours
"MULTIPOINT ((5.77889115426644 45.2228977022307))",SURFACTI0000000007460302,Zone d'activité ou d'intérêt,Culte chrétien,ancien couvent des capucins
"MULTIPOINT ((5.75266119392428 45.2030465834801))",SURFACTI0000000007460319,Zone d'activité ou d'intérêt,Culte chrétien,église notre-dame de rosaire
"MULTIPOINT ((5.76452955471865 45.2087371518792))",SURFACTI0000000007460317,Zone d'activité ou d'intérêt,Culte chrétien,église notre-dame de plaine fleurie
"MULTIPOINT ((5.72582366359349 45.1897316499487))",SURFACTI0000000007460340,Zone d'activité ou d'intérêt,Culte chrétien,église saint-louis
"MULTIPOINT ((5.74059203685039 45.1951041933629))",SURFACTI0000000007460338,Zone d'activité ou d'intérêt,Culte chrétien,chapelle saint-roch
"MULTIPOINT ((5.71051245185293 45.2135697554171))",SURFACTI0000000007460324,Zone d'activité ou d'intérêt,Culte chrétien,chapelle de narbonne
"MULTIPOINT ((5.64561150073323 45.2127544648438))",SURFACTI0000000007460327,Zone d'activité ou d'intérêt,Culte chrétien,église notre-dame des vignes
"MULTIPOINT ((5.71400406496129 45.1867181268913))",SURFACTI0000000007460346,Zone d'activité ou d'intérêt,Culte chrétien,église saint-bruno
"MULTIPOINT ((5.72291917455069 45.1844423217546))",SURFACTI0000000007460347,Zone d'activité ou d'intérêt,Culte chrétien,église saint-vincent-de-paul
"MULTIPOINT ((5.71163969010093 45.1892185134472))",SURFACTI0000000007460348,Zone d'activité ou d'intérêt,Culte chrétien,église de la mission italienne
"MULTIPOINT ((5.74489917067005 45.1782940992678))",SURFACTI0000000007460363,Zone d'activité ou d'intérêt,Culte chrétien,église saint-augustin
"MULTIPOINT ((5.72245459203923 45.1712475217788))",SURFACTI0000000007460368,Zone d'activité ou d'intérêt,Culte chrétien,relais de saint-paul
"MULTIPOINT ((5.72122613875346 45.1802031942784))",SURFACTI0000000007460369,Zone d'activité ou d'intérêt,Culte chrétien,église orthodoxe saint-georges
"MULTIPOINT ((5.72526157998566 45.1797218214341))",SURFACTI0000000007460367,Zone d'activité ou d'intérêt,Culte chrétien,église saint-jacques
"MULTIPOINT ((5.72866985933592 45.1531996953194))",SURFACTI0000000007460401,Zone d'activité ou d'intérêt,Culte chrétien,église sainte-monique
"MULTIPOINT ((5.71822609342947 45.1643011484235))",SURFACTI0000000007460388,Zone d'activité ou d'intérêt,Culte chrétien,chapelle saint-paul
"MULTIPOINT ((5.70279432421038 45.1492024197201))",SURFACTI0000000007460402,Zone d'activité ou d'intérêt,Culte chrétien,église saint-jean-bosco
"MULTIPOINT ((5.40822609722714 45.1484019030658))",SURFACTI0000000007460422,Zone d'activité ou d'intérêt,Culte divers,centre d'études tibétaines
"MULTIPOINT ((5.73342871814597 45.0822538259012))",SURFACTI0000000007460460,Zone d'activité ou d'intérêt,Culte chrétien,église saint-michel
"MULTIPOINT ((5.70145845801872 45.1201152671054))",SURFACTI0000000007460438,Zone d'activité ou d'intérêt,Culte chrétien,église saint-étienne
"MULTIPOINT ((5.67951737619839 45.0869004315652))",SURFACTI0000000007460462,Zone d'activité ou d'intérêt,Culte chrétien,église saint-pierre
"MULTIPOINT ((5.99678369457931 45.4438684163714))",SURFACTI0000000007460617,Zone d'activité ou d'intérêt,Carrière,carrière de l'arénier
"MULTIPOINT ((5.99678369457931 45.4438684163714))",SURFACTI0000000007460617,Zone d'activité ou d'intérêt,Carrière,sablière du grésivaudan
"MULTIPOINT ((6.00198262730673 45.3843837839588))",SURFACTI0000000007460634,Zone d'activité ou d'intérêt,Centrale électrique,centrale électrique du cheylas
"MULTIPOINT ((6.00773390412652 45.38307426543))",SURFACTI0000000007460635,Zone d'activité ou d'intérêt,Centrale électrique,galerie de brame-farine
"MULTIPOINT ((5.9981842809736 45.3814145764328))",SURFACTI0000000007460641,Zone d'activité ou d'intérêt,Usine,aciérie des forges d'allevard
"MULTIPOINT ((5.96271755811757 45.3615280667332))",SURFACTI0000000007460652,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités de bresson
"MULTIPOINT ((5.957984077258 45.365839650179))",SURFACTI0000000007460653,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités de tire poix
"MULTIPOINT ((6.0914880512509 45.3374002067587))",SURFACTI0000000007460656,Zone d'activité ou d'intérêt,Centrale électrique,usine hydroélectrique du riondet
"MULTIPOINT ((5.9732025562357 45.3364053980016))",SURFACTI0000000007460667,Zone d'activité ou d'intérêt,Usine,scierie des pôtes
"MULTIPOINT ((5.92491336048632 45.3139435610958))",SURFACTI0000000007460676,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités de pré millon
"MULTIPOINT ((5.95374828288957 45.3047424026811))",SURFACTI0000000007460695,Zone d'activité ou d'intérêt,Usine,scierie du pré sec
"MULTIPOINT ((5.90993247537491 45.3034932675597))",SURFACTI0000000007460696,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités des longs prés
"MULTIPOINT ((5.93296017126507 45.2859541044108))",SURFACTI0000000007460710,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités le champ 7 laux
"MULTIPOINT ((5.6264680810264 45.2942727588344))",SURFACTI0000000007460712,Zone d'activité ou d'intérêt,Divers industriel,l'île gabourg
"MULTIPOINT ((5.91231524897768 45.2640946455314))",SURFACTI0000000007460725,Zone d'activité ou d'intérêt,Zone industrielle,zone artisanale et commerciale au plan
"MULTIPOINT ((5.90062310008745 45.2601759827131))",SURFACTI0000000007460727,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités artisanales du verney
"MULTIPOINT ((5.87715431535554 45.2653796935962))",SURFACTI0000000007460728,Zone d'activité ou d'intérêt,Zone industrielle,parc technologique des fontaines
"MULTIPOINT ((5.85351750560944 45.2593482913875))",SURFACTI0000000007460730,Zone d'activité ou d'intérêt,Zone industrielle,zone artisanale de pré figaroud
"MULTIPOINT ((5.91960129827552 45.2514525392008))",SURFACTI0000000007460731,Zone d'activité ou d'intérêt,Centrale électrique,usine hydroélectrique loury
"MULTIPOINT ((5.85549797244725 45.2414237557876))",SURFACTI0000000007460732,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités de la grande chantourne
"MULTIPOINT ((5.82925165442779 45.2437998075777))",SURFACTI0000000007460733,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités pont rivet
"MULTIPOINT ((5.82722927261194 45.2433049926535))",SURFACTI0000000007460734,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités randon
"MULTIPOINT ((5.62691751905645 45.256111327899))",SURFACTI0000000007460738,Zone d'activité ou d'intérêt,Usine,les îles cordées
"MULTIPOINT ((5.88100624277088 45.2342292174166))",SURFACTI0000000007460739,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités de l'enclos
"MULTIPOINT ((5.86483797215658 45.2322532852113))",SURFACTI0000000007460740,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités grande île
"MULTIPOINT ((5.81690943923394 45.2394057383716))",SURFACTI0000000007460742,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités les évêquaux
"MULTIPOINT ((5.66347011115165 45.2395103155386))",SURFACTI0000000007460746,Zone d'activité ou d'intérêt,Divers commercial,carrefour
"MULTIPOINT ((5.80889790625921 45.2159563385778))",SURFACTI0000000007460751,Zone d'activité ou d'intérêt,Zone industrielle,innovallée
"MULTIPOINT ((5.81419382675714 45.2179259266402))",SURFACTI0000000007460750,Zone d'activité ou d'intérêt,Zone industrielle,parc d'activités de la croix verte
"MULTIPOINT ((5.79581973880019 45.2133563184742))",SURFACTI0000000007460752,Zone d'activité ou d'intérêt,Zone industrielle,jardin d'entreprises de maupertuis
"MULTIPOINT ((5.67249942458113 45.1988668466508))",SURFACTI0000000007460794,Zone d'activité ou d'intérêt,Divers commercial,géant
"MULTIPOINT ((5.81973707486075 45.1974614452692))",SURFACTI0000000007460759,Zone d'activité ou d'intérêt,Zone industrielle,zone industrielle du domeyron
"MULTIPOINT ((5.75850654414335 45.1849604368681))",SURFACTI0000000007460786,Zone d'activité ou d'intérêt,Divers commercial,géant casino
"MULTIPOINT ((5.7873419301176 45.2066500580354))",SURFACTI0000000007460766,Zone d'activité ou d'intérêt,Zone industrielle,parc d'activités high tech
"MULTIPOINT ((5.77007513640149 45.2074788997513))",SURFACTI0000000007460767,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités des sources
"MULTIPOINT ((5.67972268926634 45.201618148619))",SURFACTI0000000007460775,Zone d'activité ou d'intérêt,Zone industrielle,parc d'activités des plans
"MULTIPOINT ((5.66058204449606 45.2034381169939))",SURFACTI0000000007460778,Zone d'activité ou d'intérêt,Zone industrielle,zone industrielle de la falaise
"MULTIPOINT ((5.75573257924444 45.1848604803049))",SURFACTI0000000007460787,Zone d'activité ou d'intérêt,Zone industrielle,zone industrielle de la croix rouge
"MULTIPOINT ((5.68508320368799 45.2036741410966))",SURFACTI0000000007460774,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités de l'argentière-la pinéa
"MULTIPOINT ((5.80468789285005 45.1856988575753))",SURFACTI0000000007460781,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités du pied de gières
"MULTIPOINT ((5.68898385954596 45.1688350991419))",SURFACTI0000000007460823,Zone d'activité ou d'intérêt,Zone industrielle,zone artisanale percevalière
"MULTIPOINT ((5.78000236831876 45.1897437492695))",SURFACTI0000000007460782,Zone d'activité ou d'intérêt,Zone industrielle,zone industrielle de mayencin ii
"MULTIPOINT ((5.77947673585712 45.1863511526457))",SURFACTI0000000007460783,Zone d'activité ou d'intérêt,Zone industrielle,zone industrielle de mayencin
"MULTIPOINT ((5.77947673585712 45.1863511526457))",SURFACTI0000000007460783,Zone d'activité ou d'intérêt,Zone industrielle,zone industrielle de mayencin i
"MULTIPOINT ((5.73092310307876 45.1908003224025))",SURFACTI0000000007460789,Zone d'activité ou d'intérêt,Marché,halles sainte-claire
"MULTIPOINT ((5.71143243633836 45.192820135972))",SURFACTI0000000007460792,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités europôle
"MULTIPOINT ((5.75205239017652 45.1701669448278))",SURFACTI0000000007460802,Zone d'activité ou d'intérêt,Zone industrielle,zone d'activités du pré ruffier
"MULTIPOINT ((5.76672912060194 45.0653909479865))",SURFACTI0000000007460861,Zone d'activité ou d'intérêt,Usine,le chaudron
"MULTIPOINT ((5.71731715038356 45.1724079330709))",SURFACTI0000000007460803,Zone d'activité ou d'intérêt,Marché,marché d'intérêt national de grenoble
"MULTIPOINT ((5.6925656638625 45.1763873263772))",SURFACTI0000000007460805,Zone d'activité ou d'intérêt,Divers commercial,la fauconnière
