WKT,nom,id,type
"MULTIPOINT ((5.56022599339485 45.2339811848666))",La Glacière d'Autrans,27760,Géologie
"MULTIPOINT ((5.46905368566513 45.1413674433932))",Le massif des Coulmes,27739,Histoire et patrimoine
"MULTIPOINT ((5.53038641810417 44.9609718922095))",Sous la Tune de l'Ours,27608,Histoire et patrimoine
"MULTIPOINT ((5.55304571986199 44.9936368287052))",Tétras Lyre,27594,Faune
"MULTIPOINT ((5.61075567470044 45.2083511474577))",Le tétras lyre,27808,Faune
"MULTIPOINT ((5.43832797557115 45.0623211591343))",Bouquetins,28000,Faune
"MULTIPOINT ((5.50441592931747 44.8366997758755))",Les carrières romaines,29509,Histoire et patrimoine
"MULTIPOINT ((5.58695755898953 44.9109366419233))",Tétras Lyre,27585,Faune
"MULTIPOINT ((5.52824065089226 44.9561130633738))",Barrière Est du Vercors,27610,Géologie
"MULTIPOINT ((5.57793661952019 44.9691095087432))",Cerf,27638,Faune
"MULTIPOINT ((5.61492897570133 45.2077428215449))",Le plateau du Sornin,27804,Pastoralisme
"MULTIPOINT ((5.58929442336 44.9731826923255))",Le mouflon de Corse,27640,Faune
"MULTIPOINT ((5.43160073342733 45.0754600490796))",La Goulandière,28780,Histoire et patrimoine
"MULTIPOINT ((5.63937664031982 45.1474212751121))",Sommet du Moucherotte,29436,Sommet
"MULTIPOINT ((5.41824015788734 45.0956970674037))",Fontaine de Pétouze,30560,eau
"MULTIPOINT ((5.58828264377452 45.0529409455134))",Site de Roybon,29812,Archéologie et préhistoire
"MULTIPOINT ((5.61345979571343 45.2185056426337))",La cabane du berger,27797,Pastoralisme
"MULTIPOINT ((5.5971596762538 45.052665747193))",Col Vert,28131,Histoire et patrimoine
"MULTIPOINT ((5.42289110831916 45.0890507140979))",Grotte de Prélétang,30554,Archéologie et préhistoire
"MULTIPOINT ((5.39491555107816 45.0763087612587))",Cascade de Tuf,29211,Géologie
"MULTIPOINT ((5.57588355615735 45.0642687172988))",Les affleurements de silex des Plâtres,29821,Archéologie et préhistoire
"MULTIPOINT ((5.59328336138409 45.0780137145063))",Machiret,29817,Archéologie et préhistoire
"MULTIPOINT ((5.60684144496918 45.2130186723457))",Le Gouffre Berger,29168,Géologie
"MULTIPOINT ((5.43592035770416 45.1464716227763))",Le Gisant de Malleval-en-Vercors,28325,Résistance
"MULTIPOINT ((5.56436464190483 44.8573290434722))",Mont Aiguille,28682,Géologie
