WKT,ID,NATURE,TOPONYME
"MULTIPOLYGON (((5.68420881954926 45.214812788159,5.68420665470219 45.2147677930457,5.68414299504165 45.2147693231561,5.68414515983746 45.2148143182707,5.68420881954926 45.214812788159)))",SURFACTI0000002206924657,Parc de loisirs,Arizona Kids
"MULTIPOLYGON (((5.85668558941388 45.02711786167,5.85668329324331 45.0270728720623,5.85661985182327 45.0270745003769,5.85662214794294 45.0271194899859,5.85668558941388 45.02711786167)))",SURFACTI0000002005844106,Parc de loisirs,
"MULTIPOLYGON (((5.90080823887141 44.8923498810957,5.90080591284961 44.8923048941703,5.90074262504184 44.892306547559,5.90074495101299 44.8923515344858,5.90080823887141 44.8923498810957)))",SURFACTI0000000316322242,Parc de loisirs,Plan d'Eau de Valbonnais
"MULTIPOLYGON (((6.04413627523598 45.1337711562126,6.04413382379803 45.1337261693714,6.04407026695594 45.1337279045302,6.04407271834281 45.1337728913728,6.04413627523598 45.1337711562126)))",SURFACTI0000000312870793,Parc de loisirs,Base Nautique d'Allemond
"MULTIPOLYGON (((5.69769785571037 45.1367690325283,5.69772363152094 45.1367756164584,5.69841828803828 45.136689438371,5.69886256267535 45.1366111175051,5.69896597530682 45.1358797603027,5.69749853945395 45.1360945510841,5.69769785571037 45.1367690325283)))",SURFACTI0000000007461976,Enseignement primaire,Groupe Scolaire Saint-Éxupery
"MULTIPOLYGON (((5.33880332155874 45.0863430502424,5.33885977629887 45.0864463570067,5.33892639489946 45.0864278436966,5.33894953589309 45.0864642903793,5.33911673633811 45.086418443561,5.33904472517547 45.0862776302623,5.33880332155874 45.0863430502424)))",SURFACTI0000002200113425,Culte chrétien,
"MULTIPOLYGON (((5.90657261597581 45.1247013884214,5.90657027564621 45.1246563987239,5.90650672494264 45.1246580555032,5.90650906522117 45.124703045202,5.90657261597581 45.1247013884214)))",SURFACTI0000000007451039,Point de vue,
"MULTIPOLYGON (((6.03101402393688 45.4289425510827,6.03101157010234 45.4288975613524,6.03094767542541 45.4288992891349,6.03095012920833 45.4289442788667,6.03101402393688 45.4289425510827)))",SURFACTI0000002206925648,Point de vue,
"MULTIPOLYGON (((6.05909275318707 45.0684159625755,6.05909029258797 45.068370976797,6.05902681044337 45.0683727204484,6.05902927099151 45.0684177062284,6.05909275318707 45.0684159625755)))",SURFACTI0000002206925649,Point de vue,
"MULTIPOLYGON (((6.12967522108057 44.8893167617872,6.12967271176928 44.8892717798855,6.1296094343884 44.8892735636567,6.12961194364906 44.8893185455598,6.12967522108057 44.8893167617872)))",SURFACTI0000002206925650,Point de vue,Belvédère de Basse Pisse
"MULTIPOLYGON (((5.76065024945195 45.066174248057,5.7605897499546 45.0627846064484,5.75972925288527 45.0628131398068,5.75964909324737 45.0628890031594,5.75964179983384 45.064209962205,5.75921766690759 45.0642195695756,5.75935327678727 45.0656027571569,5.76034787491994 45.0661267849238,5.76065024945195 45.066174248057)))",SURFACTI0000000039535473,Autre équipement sportif,Stade Jo-Piarulli
"MULTIPOLYGON (((5.69197697622354 45.162831616383,5.69197480713402 45.1627866219429,5.69191120692271 45.162788156462,5.69191337596106 45.1628331509034,5.69197697622354 45.162831616383)))",SURFACTI0000000113476874,Autre équipement sportif,Complexe Vélodrome Albert Fontaine
"MULTIPOLYGON (((5.67418550064756 45.1111698897943,5.67418334787911 45.1111248955645,5.67411980594464 45.1111264199268,5.67412195866202 45.1111714141579,5.67418550064756 45.1111698897943)))",SURFACTI0000002202321481,Stade,Gymnase Léo Lagrange
"MULTIPOLYGON (((5.97521594453091 45.3394146705651,5.97521353971987 45.3393696802912,5.97514974604841 45.3393713762566,5.97515215080798 45.339416366532,5.97521594453091 45.3394146705651)))",SURFACTI0000000007463474,Gendarmerie,Gendarmerie de Goncelin
