WKT,ID,NATURE,TOPONYME
"MULTILINESTRING ((5.59018946192386 45.1409213649582,5.59025989851844 45.14093053983))",CONSLINE0000002200392856,Pont,
"MULTILINESTRING ((5.90063753777782 45.2512526281584,5.90052373186136 45.2511492600054))",CONSLINE0000002200392860,Pont,
"MULTILINESTRING ((5.9720817976141 45.0189963012157,5.9720180131725 45.0189673701776,5.97196842197366 45.0189425651298))",CONSLINE0000002200392863,Pont,
"MULTILINESTRING ((5.53896998071748 45.1723775572227,5.53914315992131 45.1725168568487))",CONSLINE0000002200392868,Pont,
"MULTILINESTRING ((5.79368806951569 45.3619340315696,5.7934311425708 45.3620098200297,5.7933055706512 45.3620543994816,5.79315711184196 45.3621013517772,5.79286635015248 45.3621905971454,5.79287129507948 45.362340041742,5.79246977024698 45.3623869983356))",CONSLINE0000000007527108,Mur,
"MULTILINESTRING ((5.4588611104858 45.0839250688118,5.45891860015354 45.0838733535645,5.45897736004595 45.0838216102535,5.45901599241779 45.0837748152678,5.45904362707193 45.0837381721288,5.45906244853968 45.0837035251499,5.45907189883852 45.0836871016175,5.45908734460366 45.0836624382816,5.45910743634534 45.0836277632598))",CONSLINE0000000007530360,Barrage,Barrage de la Balme
"MULTILINESTRING ((5.93008749970074 45.253208119306,5.93013283790084 45.253172690541))",CONSLINE0000002206920316,Mur,
"MULTILINESTRING ((5.46165353012267 45.0865550996248,5.46161664914637 45.0865550135535,5.46156543463407 45.0865759632736,5.46154546489849 45.086584511921,5.46153168865852 45.0865893204141,5.46152041358631 45.08659317282))",CONSLINE0000000006779694,Barrage,
"MULTILINESTRING ((5.80358638845191 44.7566752021429,5.80363638115652 44.7565874530394,5.80371369900106 44.7565152280365,5.80382038078424 44.7564233414105))",CONSLINE0000000007531519,Barrage,
"MULTILINESTRING ((5.66779852979416 44.7945426850381,5.66764335255323 44.7945518244295))",CONSLINE0000000007531459,Barrage,
"MULTILINESTRING ((5.66781032357549 44.7950576768225,5.66766008915201 44.7950910197019))",CONSLINE0000000007531434,Barrage,
"MULTILINESTRING ((5.66829994587812 44.7955908957552,5.66821087401156 44.7956867262147))",CONSLINE0000000007531433,Barrage,
"MULTILINESTRING ((5.66929567672662 44.7962047131803,5.66913879791022 44.7962580363268))",CONSLINE0000000007531432,Barrage,
"MULTILINESTRING ((5.66891162215744 44.7959500162673,5.66879562809238 44.796038387892))",CONSLINE0000000007531431,Barrage,
"MULTILINESTRING ((5.54101630709459 44.8208056817454,5.5410006005963 44.8208501803878,5.54091933553412 44.8210682322128,5.54091133976565 44.8210873320218))",CONSLINE0000000007531378,Barrage,
"MULTILINESTRING ((5.55142735179042 44.8217755314928,5.55136108634574 44.8219049688833))",CONSLINE0000000007531377,Barrage,
"MULTILINESTRING ((5.54792525033347 44.8211345043923,5.54791032463002 44.8211961012953,5.54786999257527 44.8213672779652,5.54784095633172 44.8214805442944))",CONSLINE0000000007531376,Barrage,
"MULTILINESTRING ((5.67249574999212 44.8221555150717,5.6726040350919 44.8220637223649))",CONSLINE0000000007531366,Barrage,
"MULTILINESTRING ((5.92325356545739 44.8264943224,5.92315790316004 44.8263833248397))",CONSLINE0000000007531306,Barrage,
"MULTILINESTRING ((5.83969618748964 44.8630125624509,5.83957770168858 44.8629741518133,5.83949120840637 44.8629421298697))",CONSLINE0000000007531222,Barrage,
"MULTILINESTRING ((5.54007125290271 44.8806638769263,5.53987057467577 44.8807090043748))",CONSLINE0000000007531192,Barrage,
"MULTILINESTRING ((5.62488498970744 44.8840023591466,5.62501282486223 44.8840263620721))",CONSLINE0000000007531189,Barrage,
"MULTILINESTRING ((5.62212146775303 44.8855225165022,5.62219857782314 44.8856269946392))",CONSLINE0000000007531166,Barrage,
