WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((5.86423724549057 44.8651189265921))",PAIE_NAT0000000007452541,Lieu-dit non habité,Lieu-dit non habité,le mas
"MULTIPOINT ((5.73313209888648 45.0736567420822))",PAIHABIT0000000343397692,Zone d'habitation,Quartier,les balcons du boutey
"MULTIPOINT ((6.07840577880536 45.1149995416955))",PAIHABIT0000000007545832,Zone d'habitation,Lieu-dit habité,poutran
"MULTIPOINT ((6.12451278951438 45.0767272347474))",PAIE_NAT0000000007451252,Lieu-dit non habité,Lieu-dit non habité,les envers
"MULTIPOINT ((5.93787119972211 44.7964408194583))",PAIOROGR0000000007457187,Détail orographique,Vallée,combe de la pisse
"MULTIPOINT ((5.96692134389613 45.2938736908458))",PAIE_NAT0000000007449972,Lieu-dit non habité,Lieu-dit non habité,champ-fray
"MULTIPOINT ((6.00538577013263 45.3952769857228))",PAIHABIT0000000007540838,Zone d'habitation,Lieu-dit habité,ferme du plateau
"MULTIPOINT ((5.878588291645 45.126044620214))",PAIHABIT0000000323303836,Zone d'habitation,Quartier,la résidence
"MULTIPOINT ((5.96005573914627 45.2972400253433))",PAIHABIT0000000007542901,Zone d'habitation,Lieu-dit habité,gorge d'or
"MULTIPOINT ((5.95816223436207 45.3793863158637))",PAIHABIT0000000007541203,Zone d'habitation,Lieu-dit habité,le buchet
"MULTIPOINT ((5.73671834162462 45.3291287476433))",PAIOROGR0000000007454280,Détail orographique,Gorge,pas de l'âne
"MULTIPOINT ((5.66796994336911 45.1958948900375))",PAIHABIT0000000335098269,Zone d'habitation,Quartier,les odelias
"MULTIPOINT ((6.19346336206618 44.9565363825391))",PAIE_NAT0000000007451879,Lieu-dit non habité,Lieu-dit non habité,cucule
"MULTIPOINT ((5.55974861113366 44.9520708140248))",PAIE_NAT0000000007452140,Lieu-dit non habité,Lieu-dit non habité,le fay
"MULTIPOINT ((6.00697575846766 44.8675059349854))",PAIOROGR0000000007456777,Détail orographique,Crête,crête du quairelet
"MULTIPOINT ((5.97523774239345 45.2674675077208))",PAIHABIT0000000007543536,Zone d'habitation,Lieu-dit habité,les blétières
"MULTIPOINT ((5.4191490170017 45.0632288221684))",PAIHABIT0000000007547095,Zone d'habitation,Lieu-dit habité,le cellier
"MULTIPOINT ((5.87469589959829 44.7696328722657))",PAIOROGR0000000007457345,Détail orographique,Vallée,combe de la grangette
"MULTIPOINT ((5.60916357274557 44.9195885783479))",PAIHABIT0000000007547981,Zone d'habitation,Grange,les eguépies
"MULTIPOINT ((6.07712466824013 45.3567333385858))",PAIOROGR0000000007454065,Détail orographique,Sommet,crêt de bens
"MULTIPOINT ((6.09336108957429 45.1076317714408))",PAIOROGR0000000007455224,Détail orographique,Vallée,ravin de font belle
